year,stint,won,lost,post_wins,post_losses,coachID,tmID
5,0,17,17,1,2,adamsmi01w,WAS
1,0,20,12,4,3,adubari99w,NYL
2,0,21,11,3,3,adubari99w,NYL
3,0,18,14,4,4,adubari99w,NYL
4,0,16,18,0,0,adubari99w,NYL
5,1,7,9,0,0,adubari99w,NYL
6,0,16,18,0,0,adubari99w,WAS
7,0,18,16,0,2,adubari99w,WAS
8,1,0,4,0,0,adubari99w,WAS
1,0,15,17,0,0,aglerbr99w,MIN
2,0,12,20,0,0,aglerbr99w,MIN
3,1,6,13,0,0,aglerbr99w,MIN
9,0,22,12,1,2,aglerbr99w,SEA
10,0,20,14,1,2,aglerbr99w,SEA
1,0,21,11,0,2,allenso99w,SAC
2,1,6,6,0,0,allenso99w,SAC
6,1,13,15,0,0,bibbyhe01w,LAS
6,2,3,7,0,0,boguemu01w,CHA
7,0,11,23,0,0,boguemu01w,CHA
8,0,19,15,1,2,bouceje01w,SAC
9,0,18,16,1,2,bouceje01w,SAC
10,1,3,10,0,0,bouceje01w,SAC
3,0,16,16,0,0,brownde01w,CON
5,2,6,20,0,0,brownde01w,SAS
6,2,4,2,0,2,bryanjo01w,LAS
7,0,25,9,2,3,bryanjo01w,LAS
1,0,27,5,6,0,chancva99w,HOU
2,0,19,13,0,2,chancva99w,HOU
3,0,24,8,1,2,chancva99w,HOU
4,0,20,14,1,2,chancva99w,HOU
5,0,13,21,0,0,chancva99w,HOU
6,0,19,15,2,3,chancva99w,HOU
7,0,18,16,0,2,chancva99w,HOU
2,0,13,19,0,0,coopecy01w,PHO
3,1,6,4,0,0,coopecy01w,PHO
1,0,28,4,2,2,coopemi01w,LAS
2,0,28,4,6,1,coopemi01w,LAS
3,0,25,7,6,0,coopemi01w,LAS
4,0,24,10,5,4,coopemi01w,LAS
5,1,14,6,0,0,coopemi01w,LAS
8,0,10,24,0,0,coopemi01w,LAS
9,0,20,14,3,3,coopemi01w,LAS
10,0,18,16,3,3,coopemi01w,LAS
7,0,5,29,0,0,cowenda01w,CHI
5,2,11,7,2,3,coylepa99w,NYL
6,0,18,16,0,2,coylepa99w,NYL
7,0,11,23,0,0,coylepa99w,NYL
8,0,16,18,1,2,coylepa99w,NYL
9,0,19,15,3,3,coylepa99w,NYL
10,1,6,11,0,0,coylepa99w,NYL
4,2,6,6,0,0,dailesh99w,SAS
5,1,3,5,0,0,dailesh99w,SAS
1,1,9,11,0,0,darscna99w,WAS
1,0,9,23,0,0,donovan99w,IND
2,0,18,14,4,4,donovan99w,CHA
3,0,18,14,0,2,donovan99w,CHA
4,0,18,16,0,0,donovan99w,SEA
5,0,20,14,6,2,donovan99w,SEA
6,0,20,14,1,2,donovan99w,SEA
7,0,18,16,1,2,donovan99w,SEA
8,0,17,17,0,2,donovan99w,SEA
10,2,7,10,0,0,donovan99w,NYL
1,0,6,26,0,0,dunnli99wc,SEA
2,0,10,22,0,0,dunnli99wc,SEA
3,0,17,15,0,2,dunnli99wc,SEA
9,0,17,17,1,2,dunnli99wc,IND
10,0,22,12,6,4,dunnli99wc,IND
1,0,8,24,0,0,dunntr01wc,CHA
2,0,10,22,0,0,fortnne99w,IND
3,0,16,16,1,2,fortnne99w,IND
4,0,16,18,0,0,fortnne99w,IND
9,0,16,18,0,0,gaineco01w,PHO
10,0,23,11,7,4,gaineco01w,PHO
10,0,14,20,0,0,gilloje01w,MIN
5,0,17,17,0,0,grafca99wc,PHO
6,0,16,18,0,0,grafca99wc,PHO
1,0,10,22,0,0,hargrli99w,POR
2,0,11,21,0,0,hargrli99w,POR
3,0,16,16,0,0,hargrli99w,POR
2,2,14,5,0,2,harveca99w,SAS
3,0,20,12,2,3,harveca99w,SAS
4,1,6,16,0,0,harveca99w,SAS
