height,weight,birthYear,num_seasons,bioID,pos,college,collegeOther
74.0,169,1980,8,abrossv01w,F,Connecticut,
75.0,180,1981,1,adamsjo01w,C,New Mexico,
67.0,165,1976,1,aguilel01w,G,George Washington,
68.0,160,1986,2,ajavoma01w,G,Rutgers,
71.0,153,1973,2,aldrima01w,G,UNC Charlotte,
72.0,149,1974,1,alhalta01w,G-F,DePaul,
71.0,135,1986,1,allench01w,G,Notre Dame,
73.0,175,1978,5,amachma01w,F,,
76.0,169,1970,1,ambermo01w,F,Arizona State,
72.0,167,1984,1,anderam01w,F,Brigham Young,
78.0,190,1981,5,anderch01w,C,Vanderbilt,
68.0,166,1986,1,anderjo01w,G,Wisconsin,
67.0,125,1974,3,anderke01w,G,Wisconsin,
71.0,165,1975,5,andrame01w,F,Old Dominion,
75.0,211,1986,2,anosini01w,C,Tennessee,
71.0,147,1969,6,arcaija01w,G,none,
77.0,198,1970,3,askamma01w,C,none,
72.0,172,1984,4,atkinla01w,G-F,North Carolina,
70.0,143,1986,1,atunrmo01w,G-F,Texas A&M,
72.0,179,1984,4,augusse01w,F,Louisiana State,
74.0,172,1973,1,aycocan01w,G-F,Kansas,
75.0,177,1979,1,azizle01w,F,Syracuse,
68.0,143,1968,4,azzije01w,G,Stanford,
64.0,125,1973,3,badertr01w,G,Boise State,
68.0,125,1982,4,bakersh01w,G,Georgia,
79.0,218,1985,2,balesal01w,C,Duke,
75.0,185,1973,1,banchrh01w,C,Washington,
77.0,182,1972,5,baranel01w,F,Academy of Sport Moscow,
70.0,156,1979,3,barksla01w,G,North Carolina,
71.0,165,1977,5,barnead01w,F,Arizona,
77.0,185,1976,3,barnequ01w,C,Indiana,
76.0,203,1980,5,batkosu01w,C,,
73.0,163,1983,2,batteja01w,F,Notre Dame,
72.0,170,1982,5,battlas01w,F,Connecticut,
76.0,180,1972,3,bauerca01w,F-C,Montana State,
71.0,160,1982,6,beardal01w,G-F,Duke,
68.0,125,1985,1,beckki01w,G,George Washington,
75.0,185,1981,1,bennije01w,F,Vanderbilt,
76.0,0,1986,1,berezva01w,C,Rice,
74.0,188,1978,3,berthlu01w,F-C,Old Dominion,
67.0,145,1972,10,beviltu01w,G,,
67.0,139,1979,1,bibbyje01w,G,,
74.0,168,1982,3,bibrzag01w,G-F,,
69.0,150,1980,8,birdsu01w,G,Connecticut,
76.0,175,1982,1,bjorkte01w,C,Colorado,
77.0,188,1985,1,blackch01w,C,Duke,
63.0,124,1966,5,blackde01w,G,St. Joseph's,
69.0,130,1975,2,blodgci01w,G,Maine,
68.0,163,1984,4,blueni01w,G,UCLA,
73.0,163,1976,2,blueoc01w,F,Miami (FL),
62.0,130,1985,2,bobbish01w,G,Tennessee,
69.0,149,1987,1,boddiwh01w,G,Auburn,
69.0,150,1967,5,boltoru01w,G,Auburn,
67.0,132,1984,3,bondla01w,G,Missouri,
68.0,145,1974,1,bonfisu01w,G,,
76.0,136,1987,1,bonnede01w,G,Auburn,
67.0,145,1983,1,bowenli01w,G,Michigan State,
73.0,172,1975,1,boydca01w,F,,
78.0,210,1983,5,braxtka01w,F-C,Georgia,
74.0,169,1976,2,brazian01w,F,Texas Tech,
70.0,139,1978,1,bristre01w,G,Arizona,
73.0,177,1973,1,brogami01w,F,,
67.0,136,1968,3,brondsa01w,G,U. Western Sydney,
69.0,150,1980,4,brownco01w,G,North Carolina,
69.0,163,1978,7,browned01w,G-F,Texas,
70.0,134,1979,8,brownki01w,G,Georgia,
74.0,175,1972,4,brownru01w,F,Furman,
68.0,133,1978,4,brumfma01w,G,Rice,
73.0,165,1982,3,brungje01w,F,Penn State,
75.0,175,1981,6,brunsre01w,F,Georgetown,
75.0,185,1967,3,bullevi01w,F,Maryland,
67.0,141,1969,3,burgean01w,G,,
73.0,173,1969,1,burgeli01w,F,Alabama,
75.0,218,1975,4,burraal01w,C,Louisiana Tech,
77.0,199,1979,9,burseja01w,C,Tulane,
71.0,160,1982,1,buttsta01w,G,Tennessee,
71.0,206,1973,9,byearla01w,G-F,DePaul,NE Oklahoma A&M (JC)
68.0,152,1968,6,campbed01w,G,Texas,
77.0,170,1974,1,campbmi01w,F-C,USC,
69.0,162,1977,10,cantydo01w,G-F,Alabama,
66.0,135,1981,4,careyja01w,G,Texas,
72.0,165,1986,2,carsoes01w,G-F,Rutgers,
74.0,185,1982,2,carteam01w,F,Louisiana State,
73.0,162,1979,8,cashsw01w,F,Connecticut,
75.0,187,1978,1,cassija01w,C,Maine,
72.0,140,1982,8,castriz01w,G-F,,
73.0,167,1979,8,catchta01w,F,Tennessee,
69.0,159,1980,1,caufila01w,G,Oklahoma,
69.0,160,1985,1,chambco01w,G,Georgia,
71.0,160,1986,1,chanequ01w,G,Louisiana State,
75.0,206,1979,1,chapmji01w,C,Indiana,
75.0,180,1981,3,choneka01w,C,North Carolina State,
74.0,171,1980,6,chriska01w,F,UC Santa Barbara,
73.0,170,1982,6,chrissh01w,F,Arkansas,
68.0,150,1987,1,cironkr01w,G,Illinois State,
66.0,126,1974,2,clearmi01w,G,Australian Institute of Sport,
65.0,148,1978,3,clinest01w,G,UC Santa Barbara,
71.0,170,1985,1,coggicl01w,G,Kansas State,
73.0,180,1982,1,cokermo01w,F,Old Dominion,
72.0,170,1981,1,colemco01w,F,Ohio State,
73.0,160,1987,1,colemma01w,G-F,Maryland,
70.0,145,1971,2,colleka01w,G-F,Maryland,
68.0,144,1979,1,consuca01w,G,Iowa,
76.0,176,1979,2,coopeca01w,C,Purdue,
70.0,150,1963,4,coopecy01w,G,USC,
77.0,187,1972,4,crawlsy01w,F-C,North Carolina,
73.0,158,1981,1,crockda01w,F,Baylor,
74.0,215,1984,1,crockwi01w,F,Connecticut,
72.0,155,1977,1,cronika01w,G,Colorado State,
72.0,163,1975,1,cunnibe01w,G,Notre Dame,
72.0,187,1980,1,cunnida01w,F,Rutgers,
72.0,177,1983,4,currimo01w,F,Duke,
64.0,138,1979,3,curryed01w,G,Oregon,
72.0,155,1979,6,dalesst01w,G-F,Oklahoma,
66.0,147,1978,4,daleygr01w,G,Tulane,
66.0,164,1978,10,darlihe01w,G,Penn State,
77.0,215,1985,3,davenje01w,C,Ohio State,
72.0,172,1983,1,davisbr01w,G,Oregon,
67.0,138,1984,1,davisde01w,G,Vanderbilt,
71.0,0,1987,1,davista02w,G,Florida State,
