year,GP,GS,minutes,oRebounds,PF,fgAttempted,ftMade,threeAttempted,dq,PostGP,PostGS,PostoRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostftAttempted,PostthreeAttempted,PostDQ,total_rebounds,total_blocks,total_steals,total_turnovers,FG%,FT%,award,Avg_Rebounds_Per_Game,Avg_Steals_Per_Game,Avg_Turnovers_Per_Game,Usability,POSITION_METRIC,playoff,playerID,tmID,pos
2,26,23,846,43,70,293,96,76,2,0,0,0,0,0,0,0,0,0,0,0,0,174,9,42,85,0.3890784982935154,0.7272727272727273,0,6.6923076923076925,1.6153846153846154,3.269230769230769,0.8134615384615385,0.576923076923077,0,abrossv01w,MIN,F
3,27,27,805,45,73,316,56,60,0,0,0,0,0,0,0,0,0,0,0,0,0,146,10,42,92,0.37658227848101267,0.4827586206896552,0,5.407407407407407,1.5555555555555556,3.4074074074074074,0.7453703703703703,0.4661558109833972,0,abrossv01w,MIN,F
4,30,25,792,44,79,285,69,82,0,3,3,1,5,4,4,1,8,8,8,7,0,146,12,48,98,0.38436482084690554,0.7264150943396226,0,4.7,1.4666666666666666,3.0,0.66,0.4051724137931035,1,abrossv01w,MIN,F
5,22,11,462,17,42,139,28,53,0,2,2,3,9,3,1,2,3,7,4,8,0,83,4,31,46,0.35185185185185186,0.6,0,3.3636363636363638,1.3636363636363635,1.9545454545454546,0.525,0.28996865203761757,1,abrossv01w,MIN,F
6,31,31,777,29,86,276,53,82,0,0,0,0,0,0,0,0,0,0,0,0,0,107,6,48,80,0.39492753623188404,0.726027397260274,0,3.4516129032258065,1.5483870967741935,2.5806451612903225,0.6266129032258064,0.2975528364849833,0,abrossv01w,MIN,F
7,34,2,724,44,66,241,41,65,0,0,0,0,0,0,0,0,0,0,0,0,0,106,1,34,61,0.4107883817427386,0.6612903225806451,0,3.1176470588235294,1.0,1.7941176470588236,0.5323529411764706,0.26876267748478705,0,abrossv01w,MIN,F
8,34,29,843,53,86,298,36,101,0,0,0,0,0,0,0,0,0,0,0,0,0,150,4,44,68,0.4429530201342282,0.8372093023255814,0,4.411764705882353,1.2941176470588236,2.0,0.6198529411764706,0.38032454361054774,0,abrossv01w,MIN,F
9,6,0,107,3,13,36,10,12,0,3,2,3,11,4,4,0,3,8,4,5,0,31,0,12,14,0.36666666666666664,0.75,0,3.3333333333333335,1.3333333333333333,1.8333333333333333,0.44583333333333336,0.2873563218390805,1,abrossv01w,CON,F
4,10,0,96,10,10,33,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,2,10,0.3939393939393939,1.0,0,2.3,0.2,1.0,0.24,0.08411214953271028,1,adamsjo01w,MIN,C
3,28,0,141,0,5,33,4,21,0,2,0,0,0,2,0,0,0,1,0,0,0,11,2,3,11,0.42424242424242425,0.5714285714285714,0,0.39285714285714285,0.10714285714285714,0.39285714285714285,0.12589285714285714,0.2644628099173554,1,aguilel01w,SAS,G
9,34,2,604,33,85,284,72,68,1,0,0,0,0,0,0,0,0,0,0,0,0,60,6,31,55,0.33098591549295775,0.7912087912087912,0,1.7647058823529411,0.9117647058823529,1.6176470588235294,0.4441176470588235,0.1950413223140496,0,ajavoma01w,HOU,G
10,34,4,587,27,84,253,74,82,1,2,0,1,5,3,4,0,2,6,6,8,0,69,4,41,52,0.3382899628252788,0.6810344827586207,0,1.8823529411764706,1.088235294117647,1.4705882352941178,0.43161764705882355,0.13454545454545455,1,ajavoma01w,WAS,G
1,29,0,272,8,30,54,7,12,0,2,0,1,4,7,1,0,1,3,8,3,0,28,4,10,28,0.46153846153846156,0.36666666666666664,0,0.8275862068965517,0.3103448275862069,0.9310344827586207,0.23448275862068965,0.18855218855218855,1,aldrima01w,WAS,G
2,5,0,35,2,5,9,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0.3333333333333333,1.0,0,0.4,0.0,0.8,0.175,0.09090909090909091,0,aldrima01w,WAS,G
2,26,1,252,15,20,58,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,11,28,0.3275862068965517,0.5,0,1.4615384615384615,0.4230769230769231,1.0769230769230769,0.2423076923076923,0.48484848484848486,0,alhalta01w,CON,G-F
9,6,0,49,2,5,16,0,6,0,2,0,0,0,0,0,0,1,1,0,0,0,6,0,1,7,0.4375,0.0,0,1.0,0.16666666666666666,1.0,0.20416666666666666,0.09090909090909091,1,allench01w,SAC,G
2,2,0,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.0,0.5,0,0.5,0.0,0.5,0.0375,0.04310344827586207,1,amachma01w,NYL,F
4,7,0,47,4,3,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,5,9,0.3,0.5,0,2.0,0.7142857142857143,1.2857142857142858,0.16785714285714284,0.1724137931034483,0,amachma01w,SEA,F
6,3,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0,0.0,0.0,0.0,0.025,0.0,0,amachma01w,WAS,F
3,2,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.05,0.0,0,ambermo01w,SAC,F
7,4,0,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0.0,0.0,0,1.0,0.25,0.25,0.0625,0.08620689655172414,0,anderam01w,NYL,F
4,26,0,171,7,33,44,4,0,1,5,0,0,3,0,0,2,4,7,2,0,0,27,7,5,21,0.4489795918367347,0.35714285714285715,0,0.9230769230769231,0.19230769230769232,0.6538461538461539,0.16442307692307692,0.053918044572250176,1,anderch01w,SAC,C
5,30,0,231,14,46,64,27,0,0,2,0,0,2,1,0,0,1,1,0,0,0,36,6,3,26,0.3939393939393939,0.7297297297297297,0,1.1333333333333333,0.1,0.8333333333333334,0.1925,0.056074766355140186,1,anderch01w,SAC,C
6,34,19,669,28,106,178,37,0,5,0,0,0,0,0,0,0,0,0,0,0,0,90,15,8,55,0.46629213483146065,0.8043478260869565,0,2.6470588235294117,0.23529411764705882,1.6176470588235294,0.4919117647058823,0.12369433754810334,0,anderch01w,SAS,C
7,23,20,414,28,73,112,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,10,7,29,0.5267857142857143,0.7777777777777778,0,3.6956521739130435,0.30434782608695654,1.2608695652173914,0.45,0.12190166598943518,0,anderch01w,SAS,C
8,11,1,86,6,11,20,8,0,0,2,0,1,1,0,0,0,0,3,2,0,0,21,5,1,5,0.47619047619047616,0.7142857142857143,0,1.8181818181818181,0.09090909090909091,0.45454545454545453,0.19545454545454546,0.12744265080713676,1,anderch01w,SAS,C
9,24,7,367,11,17,126,11,69,0,0,0,0,0,0,0,0,0,0,0,0,0,58,1,7,16,0.2777777777777778,0.7333333333333333,0,2.4166666666666665,0.2916666666666667,0.6666666666666666,0.38229166666666664,0.29545454545454547,1,anderjo01w,CON,G
1,30,9,434,12,53,68,14,8,0,2,2,2,5,5,0,0,4,1,2,0,0,51,3,25,51,0.4225352112676056,0.7,0,1.5333333333333334,0.8333333333333334,1.5666666666666667,0.3616666666666667,0.2901353965183752,1,anderke01w,WAS,G
2,18,0,102,3,8,16,8,2,0,2,0,0,0,1,1,0,1,1,0,1,0,15,0,7,18,0.11764705882352941,0.8,0,0.8333333333333334,0.3333333333333333,0.9444444444444444,0.14166666666666666,0.1497326203208556,1,anderke01w,CHA,G
3,7,0,31,2,4,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0.25,0.0,0,0.8571428571428571,0.0,0.42857142857142855,0.11071428571428571,0.30303030303030304,1,anderke01w,CHA,G
1,32,18,797,32,91,195,60,75,1,6,5,5,17,14,6,3,11,17,9,9,0,112,13,47,76,0.42543859649122806,0.7303370786516854,0,2.96875,1.28125,2.03125,0.62265625,0.25592672413793105,1,andrame01w,CLE,F
2,32,32,893,21,77,171,30,30,0,3,3,5,9,1,2,2,7,9,0,2,0,96,12,53,68,0.3404255319148936,0.6666666666666666,0,2.71875,1.59375,1.90625,0.69765625,0.23437500000000003,1,andrame01w,CLE,F
3,32,16,665,17,82,111,18,26,2,0,0,0,0,0,0,0,0,0,0,0,0,56,6,29,41,0.3063063063063063,0.782608695652174,0,1.75,0.90625,1.28125,0.51953125,0.15086206896551724,0,andrame01w,CLE,F
5,12,0,65,1,12,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,3,0.42857142857142855,1.0,0,0.3333333333333333,0.0,0.25,0.13541666666666666,0.028735632183908046,0,andrame01w,CHA,F
9,34,34,920,78,125,226,116,1,2,0,0,0,0,0,0,0,0,0,0,0,0,231,43,75,42,0.43805309734513276,0.6987951807228916,0,6.794117647058823,2.2058823529411766,1.2352941176470589,0.6764705882352942,0.3545904343045629,0,anosini01w,MIN,C
10,30,29,896,73,88,265,135,4,1,0,0,0,0,0,0,0,0,0,0,0,0,222,28,81,61,0.49056603773584906,0.6958762886597938,0,7.4,2.7,2.033333333333333,0.7466666666666667,0.2616822429906542,0,anosini01w,MIN,C
1,32,32,977,36,66,233,41,45,1,6,6,6,27,12,10,0,16,14,7,7,0,146,3,52,69,0.4642857142857143,0.8392857142857143,0,3.71875,1.3125,1.65625,0.76328125,0.2058319039451115,1,arcaija01w,HOU,G
2,32,32,1154,49,82,509,135,66,1,2,2,2,11,5,2,0,5,5,2,8,0,147,3,62,88,0.42357274401473294,0.9013157894736842,1,4.25,1.875,2.59375,0.9015625,0.20591456736035052,1,arcaija01w,HOU,G
3,32,32,1116,42,49,302,98,37,0,3,3,2,11,4,5,1,5,11,8,7,0,137,7,56,76,0.42433234421364985,0.8823529411764706,0,3.9375,1.59375,2.21875,0.871875,0.22023047375160051,1,arcaija01w,HOU,G
4,34,34,1136,24,64,324,79,37,0,3,3,6,14,3,8,0,7,5,13,5,0,150,1,49,57,0.4591549295774648,0.8504672897196262,0,4.0,1.2058823529411764,1.4705882352941178,0.8352941176470589,0.24363636363636365,1,arcaija01w,HOU,G
