year,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,d_fgm,d_fga,d_fta,d_3pm,d_3pa,d_oreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,GP,attend,win_percentage,loss_percentage,home_win_percentage,home_loss_percentage,away_win_percentage,away_loss_percentage,conference_win_percentage,conference_loss_percentage,tmID,tmID_encoded
9,0,7,0,0.0,0.0,0.0,895,2258,542,725,598,340,737,1077,492,796,285,593,142,1014,2254,918,172,502,401,1265,684,726,310,561,134,34,141379,0.11764705882352941,0.8823529411764706,0.058823529411764705,0.9411764705882353,0.17647058823529413,0.8235294117647058,0.1,0.9,ATL,0
10,0,2,1,0.5,0.0,0.0,1089,2428,569,755,374,404,855,1259,547,741,329,590,121,996,2363,807,181,530,353,1174,615,700,347,601,133,34,120737,0.5294117647058824,0.47058823529411764,0.7058823529411765,0.29411764705882354,0.35294117647058826,0.6470588235294118,0.45454545454545453,0.5454545454545454,ATL,0
1,0,8,0,0.0,0.0,0.0,812,1903,431,577,386,305,630,935,551,713,222,496,90,879,1930,716,138,423,326,990,596,596,259,426,123,32,90963,0.25,0.75,0.3125,0.6875,0.1875,0.8125,0.23809523809523808,0.7619047619047619,CHA,1
2,0,4,1,1.0,1.0,0.5,746,1780,410,528,428,309,639,948,467,605,217,474,114,732,1846,562,114,369,344,911,443,579,257,447,124,32,105525,0.5625,0.4375,0.6875,0.3125,0.4375,0.5625,0.7142857142857143,0.2857142857142857,CHA,1
3,0,2,1,0.5,0.0,0.0,770,1790,490,663,527,302,653,955,496,647,241,408,105,778,1807,598,133,372,295,915,489,600,208,424,103,32,106670,0.5625,0.4375,0.6875,0.3125,0.4375,0.5625,0.5714285714285714,0.42857142857142855,CHA,1
4,0,2,1,0.5,0.0,0.0,787,1881,456,590,517,342,629,971,499,697,279,497,115,790,1902,667,138,407,386,1007,491,606,264,469,104,34,120061,0.5294117647058824,0.47058823529411764,0.7647058823529411,0.23529411764705882,0.29411764705882354,0.7058823529411765,0.5,0.5,CHA,1
5,0,5,0,0.0,0.0,0.0,745,1744,436,590,459,256,616,872,426,648,210,479,134,800,1932,587,130,349,368,996,516,595,243,437,114,34,116383,0.47058823529411764,0.5294117647058824,0.5882352941176471,0.4117647058823529,0.35294117647058826,0.6470588235294118,0.4,0.6,CHA,1
6,0,6,0,0.0,0.0,0.0,772,1913,447,624,301,316,609,925,493,727,284,535,113,851,1888,713,124,339,355,1055,496,654,269,534,146,34,98054,0.17647058823529413,0.8235294117647058,0.29411764705882354,0.7058823529411765,0.058823529411764705,0.9411764705882353,0.2,0.8,CHA,1
7,0,6,0,0.0,0.0,0.0,864,2178,552,777,544,347,747,1094,527,734,315,574,155,911,2149,791,155,465,370,1240,522,707,286,619,125,34,106942,0.3235294117647059,0.6764705882352942,0.4117647058823529,0.5882352941176471,0.23529411764705882,0.7647058823529411,0.3,0.7,CHA,1
7,0,7,0,0.0,0.0,0.0,858,2175,449,643,536,357,680,1037,509,674,277,527,125,971,2147,736,200,536,379,1239,623,584,262,535,120,34,57635,0.14705882352941177,0.8529411764705882,0.17647058823529413,0.8235294117647058,0.11764705882352941,0.8823529411764706,0.2,0.8,CHI,2
8,0,6,0,0.0,0.0,0.0,925,2277,489,723,544,383,782,1165,597,634,262,510,112,963,2243,642,184,481,379,1225,584,683,242,566,138,34,66557,0.4117647058823529,0.5882352941176471,0.35294117647058826,0.6470588235294118,0.47058823529411764,0.5294117647058824,0.3,0.7,CHI,2
9,0,5,0,0.0,0.0,0.0,899,2100,564,812,341,357,770,1127,548,639,269,525,149,917,2203,655,170,508,366,1160,531,681,255,522,124,34,62146,0.35294117647058826,0.6470588235294118,0.47058823529411764,0.5294117647058824,0.23529411764705882,0.7647058823529411,0.5,0.5,CHI,2
10,0,5,0,0.0,0.0,0.0,930,2136,527,693,471,307,776,1083,532,605,249,532,138,1004,2269,613,206,593,359,1156,610,636,273,489,121,34,66852,0.47058823529411764,0.5294117647058824,0.7058823529411765,0.29411764705882354,0.23529411764705882,0.7647058823529411,0.45454545454545453,0.5454545454545454,CHI,2
1,0,2,1,1.0,0.5,0.0,809,1828,426,570,407,331,603,934,539,647,259,538,91,774,1761,583,119,368,277,873,540,693,305,552,95,32,137532,0.53125,0.46875,0.8125,0.1875,0.25,0.75,0.6190476190476191,0.38095238095238093,CLE,3
2,0,1,1,0.5,0.0,0.0,763,1770,372,505,335,297,662,959,503,532,267,444,83,664,1745,444,132,417,297,891,434,597,225,496,127,32,147373,0.6875,0.3125,0.875,0.125,0.5,0.5,0.7142857142857143,0.2857142857142857,CLE,3
3,0,7,0,0.0,0.0,0.0,760,1820,430,553,374,295,674,969,480,567,221,451,83,797,1834,521,149,441,278,918,530,613,242,428,109,32,149084,0.3125,0.6875,0.25,0.75,0.375,0.625,0.3333333333333333,0.6666666666666666,CLE,3
4,0,4,1,0.5,0.0,0.0,815,1975,464,643,425,349,720,1069,517,639,226,466,86,809,1927,607,127,355,300,1004,510,659,223,467,135,34,125793,0.5,0.5,0.6470588235294118,0.35294117647058826,0.35294117647058826,0.6470588235294118,0.5416666666666666,0.4583333333333333,CLE,3
4,0,3,1,1.0,0.5,0.0,864,2102,479,646,549,333,762,1095,520,663,270,434,111,864,2104,673,172,536,366,1178,553,669,252,476,88,34,102433,0.5294117647058824,0.47058823529411764,0.5882352941176471,0.4117647058823529,0.47058823529411764,0.5294117647058824,0.4583333333333333,0.5416666666666666,CON,4
5,0,1,1,1.0,1.0,0.5,876,2051,434,590,467,321,724,1045,572,610,299,462,96,858,1996,599,145,384,306,1063,565,627,239,492,113,34,114017,0.5294117647058824,0.47058823529411764,0.5882352941176471,0.4117647058823529,0.47058823529411764,0.5294117647058824,0.7,0.3,CON,4
6,0,1,1,1.0,1.0,1.0,916,2025,512,688,373,322,788,1110,573,624,236,452,130,835,2100,599,122,400,350,1078,495,675,258,442,79,34,121944,0.7647058823529411,0.23529411764705882,0.8235294117647058,0.17647058823529413,0.7058823529411765,0.29411764705882354,0.65,0.35,CON,4
7,0,1,1,1.0,0.5,0.0,982,2216,545,675,510,342,926,1268,630,530,252,514,153,948,2357,500,163,508,370,1153,528,646,273,486,103,34,126096,0.7647058823529411,0.23529411764705882,0.8235294117647058,0.17647058823529413,0.7058823529411765,0.29411764705882354,0.75,0.25,CON,4
8,0,3,1,0.5,0.0,0.0,1001,2327,478,615,572,354,868,1222,619,641,272,540,156,976,2317,626,166,485,337,1179,581,633,246,524,85,34,135490,0.5294117647058824,0.47058823529411764,0.47058823529411764,0.5294117647058824,0.5882352941176471,0.4117647058823529,0.5,0.5,CON,4
9,0,2,1,0.5,0.0,0.0,965,2286,539,723,669,370,869,1239,607,629,211,487,97,955,2284,638,159,496,360,1200,554,703,252,499,104,34,129951,0.6176470588235294,0.38235294117647056,0.7647058823529411,0.23529411764705882,0.47058823529411764,0.5294117647058824,0.65,0.35,CON,4
10,0,6,0,0.0,0.0,0.0,966,2381,517,692,639,358,826,1184,608,677,250,453,130,953,2236,746,157,488,329,1274,525,684,248,549,125,34,115496,0.47058823529411764,0.5294117647058824,0.7058823529411765,0.29411764705882354,0.23529411764705882,0.7647058823529411,0.45454545454545453,0.5454545454545454,CON,4
