firstseason,lastseason,num_seasons,bioID,pos,height,weight,college,collegeOther,birthDate,deathDate
2,9,8,abrossv01w,F,74.0,169,Connecticut,,1980-07-09,
4,4,1,adamsjo01w,C,75.0,180,New Mexico,,1981-05-24,
3,3,1,aguilel01w,G,67.0,165,George Washington,,1976-10-15,
9,10,2,ajavoma01w,G,68.0,160,Rutgers,,1986-05-07,
1,2,2,aldrima01w,G,71.0,153,UNC Charlotte,,1973-09-15,
2,2,1,alhalta01w,G-F,72.0,149,DePaul,,1974-10-17,
9,9,1,allench01w,G,71.0,135,Notre Dame,,1986-07-23,
2,6,5,amachma01w,F,73.0,175,,,1978-01-30,
3,3,1,ambermo01w,F,76.0,169,Arizona State,,1970-12-21,
7,7,1,anderam01w,F,72.0,167,Brigham Young,,1984-03-14,
4,8,5,anderch01w,C,78.0,190,Vanderbilt,,1981-01-22,
9,9,1,anderjo01w,G,68.0,166,Wisconsin,,1986-07-22,
1,3,3,anderke01w,G,67.0,125,Wisconsin,,1974-05-17,
1,5,5,andrame01w,F,71.0,165,Old Dominion,,1975-12-31,
9,10,2,anosini01w,C,75.0,211,Tennessee,,1986-02-27,
1,6,6,arcaija01w,G,71.0,147,none,,1969-04-11,
1,3,3,askamma01w,C,77.0,198,none,,1970-08-07,
7,10,4,atkinla01w,G-F,72.0,172,North Carolina,,1984-03-22,
9,9,1,atunrmo01w,G-F,70.0,143,Texas A&M,,1986-04-14,
7,10,4,augusse01w,F,72.0,179,Louisiana State,,1984-04-30,
1,1,1,aycocan01w,G-F,74.0,172,Kansas,,1973-02-28,
4,4,1,azizle01w,F,75.0,177,Syracuse,,1979-02-28,
1,4,4,azzije01w,G,68.0,143,Stanford,,1968-08-31,
1,3,3,badertr01w,G,64.0,125,Boise State,,1973-02-26,
7,10,4,bakersh01w,G,68.0,125,Georgia,,1982-12-03,
8,9,2,balesal01w,C,79.0,218,Duke,,1985-04-04,
1,1,1,banchrh01w,C,75.0,185,Washington,,1973-05-01,
2,6,5,baranel01w,F,77.0,182,Academy of Sport Moscow,,1972-01-28,
2,4,3,barksla01w,G,70.0,156,North Carolina,,1979-10-03,
1,5,5,barnead01w,F,71.0,165,Arizona,,1977-02-03,
1,3,3,barnequ01w,C,77.0,185,Indiana,,1976-09-26,
6,10,5,batkosu01w,C,76.0,203,,,1980-12-17,
6,7,2,batteja01w,F,73.0,163,Notre Dame,,1983-03-26,
6,10,5,battlas01w,F,72.0,170,Connecticut,,1982-05-31,
1,3,3,bauerca01w,F-C,76.0,180,Montana State,,1972-06-27,
5,10,6,beardal01w,G-F,71.0,160,Duke,,1982-05-14,
9,9,1,beckki01w,G,68.0,125,George Washington,,1985-12-27,
6,6,1,bennije01w,F,75.0,185,Vanderbilt,,1981-10-06,
9,9,1,berezva01w,C,76.0,,Rice,,1986-04-10,
3,5,3,berthlu01w,F-C,74.0,188,Old Dominion,,1978-03-31,
1,10,10,beviltu01w,G,67.0,145,,,1972-07-19,
1,1,1,bibbyje01w,G,67.0,139,,,1979-08-23,
5,7,3,bibrzag01w,G-F,74.0,168,,,1982-10-21,
3,10,8,birdsu01w,G,69.0,150,Connecticut,,1980-10-16,
5,5,1,bjorkte01w,C,76.0,175,Colorado,,1982-06-29,
10,10,1,blackch01w,C,77.0,188,Duke,,1985-11-12,
1,5,5,blackde01w,G,63.0,124,St. Joseph's,,1966-07-29,
1,2,2,blodgci01w,G,69.0,130,Maine,,1975-12-23,
7,10,4,blueni01w,G,68.0,163,UCLA,,1984-03-29,
4,5,2,blueoc01w,F,73.0,163,Miami (FL),,1976-08-18,
9,10,2,bobbish01w,G,62.0,130,Tennessee,,1985-12-06,
