year,stint,GP,blocks,threeAttempted,dq,PostBlocks,PostthreeMade,PostDQ,FG%,FT%,Avg_Assists_Per_Game,Durability_Ratio,POSITION_METRIC,playoff,playerID,tmID,pos
2,0,26,9,76,2,0,0,0,0.3890784982935154,0.7272727272727273,2.0384615384615383,0.6778846153846154,0.576923076923077,0,abrossv01w,MIN,F
3,0,27,10,60,0,0,0,0,0.37658227848101267,0.4827586206896552,2.2222222222222223,0.621141975308642,0.4661558109833972,0,abrossv01w,MIN,F
4,0,30,11,82,0,1,3,0,0.38436482084690554,0.7264150943396226,2.8666666666666667,0.5979166666666667,0.4051724137931035,1,abrossv01w,MIN,F
5,0,22,2,53,0,2,2,0,0.35185185185185186,0.6,2.1818181818181817,0.5009469696969697,0.28996865203761757,1,abrossv01w,MIN,F
6,0,31,6,82,0,0,0,0,0.39492753623188404,0.726027397260274,1.935483870967742,0.5221774193548387,0.2975528364849833,0,abrossv01w,MIN,F
7,0,34,1,65,0,0,0,0,0.4107883817427386,0.6612903225806451,1.588235294117647,0.44362745098039214,0.26876267748478705,0,abrossv01w,MIN,F
8,0,34,4,101,0,0,0,0,0.4429530201342282,0.8372093023255814,2.5,0.5165441176470589,0.38032454361054774,0,abrossv01w,MIN,F
9,0,6,0,12,0,0,0,0,0.36666666666666664,0.75,2.6666666666666665,0.5902777777777778,0.2873563218390805,1,abrossv01w,CON,F
4,0,10,3,12,0,0,0,0,0.3939393939393939,1.0,0.4,0.2,0.08411214953271028,1,adamsjo01w,MIN,C
3,0,28,2,21,0,0,0,0,0.42424242424242425,0.5714285714285714,0.6428571428571429,0.10788690476190477,0.2644628099173554,1,aguilel01w,SAS,G
9,0,34,6,68,1,0,0,0,0.33098591549295775,0.7912087912087912,1.7352941176470589,0.3700980392156863,0.1950413223140496,0,ajavoma01w,HOU,G
10,0,34,4,82,1,0,2,0,0.3382899628252788,0.6810344827586207,1.1764705882352942,0.3805147058823529,0.13454545454545455,1,ajavoma01w,WAS,G
1,0,29,4,12,0,0,0,0,0.46153846153846156,0.36666666666666664,1.206896551724138,0.23060344827586207,0.18855218855218855,1,aldrima01w,WAS,G
2,0,5,0,3,0,0,0,0,0.3333333333333333,1.0,0.4,0.14583333333333334,0.09090909090909091,0,aldrima01w,WAS,G
2,0,26,0,11,0,0,0,0,0.3275862068965517,0.5,0.5384615384615384,0.20192307692307693,0.48484848484848486,0,alhalta01w,CON,G-F
9,0,6,0,6,0,0,0,0,0.4375,0.0,0.5,0.18055555555555555,0.09090909090909091,1,allench01w,SAC,G
2,0,2,1,0,0,0,0,0,0.0,0.5,0.0,0.03125,0.04310344827586207,1,amachma01w,NYL,F
4,0,7,2,0,0,0,0,0,0.3,0.5,0.0,0.13988095238095238,0.1724137931034483,0,amachma01w,SEA,F
6,0,3,0,0,0,0,0,0,0.0,1.0,0.0,0.020833333333333332,0.0,0,amachma01w,WAS,F
3,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.041666666666666664,0.0,0,ambermo01w,SAC,F
7,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.020833333333333332,0.1724137931034483,1,anderam01w,CON,F
7,2,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0625,0.05747126436781609,0,anderam01w,NYL,F
4,0,26,5,0,1,2,0,0,0.4489795918367347,0.35714285714285715,0.19230769230769232,0.16025641025641027,0.053918044572250176,1,anderch01w,SAC,C
5,0,30,6,0,0,0,0,0,0.3939393939393939,0.7297297297297297,0.2,0.16805555555555557,0.056074766355140186,1,anderch01w,SAC,C
6,0,34,15,0,5,0,0,0,0.46629213483146065,0.8043478260869565,0.3235294117647059,0.4099264705882353,0.12369433754810334,0,anderch01w,SAS,C
7,0,23,10,0,0,0,0,0,0.5267857142857143,0.7777777777777778,0.6521739130434783,0.375,0.12190166598943518,0,anderch01w,SAS,C
8,0,11,5,0,0,0,0,0,0.47619047619047616,0.7142857142857143,0.2727272727272727,0.17234848484848486,0.12744265080713676,1,anderch01w,SAS,C
9,0,24,1,69,0,0,0,0,0.2777777777777778,0.7333333333333333,1.0833333333333333,0.3185763888888889,0.29545454545454547,1,anderjo01w,CON,G
1,0,30,3,8,0,0,0,0,0.4225352112676056,0.7,2.6666666666666665,0.32222222222222224,0.2901353965183752,1,anderke01w,WAS,G
2,0,18,0,2,0,0,0,0,0.11764705882352941,0.8,0.8333333333333334,0.1261574074074074,0.1497326203208556,1,anderke01w,CHA,G
3,0,7,0,4,0,0,0,0,0.25,0.0,0.7142857142857143,0.09226190476190477,0.30303030303030304,1,anderke01w,CHA,G
1,0,32,10,75,1,3,0,0,0.42543859649122806,0.7303370786516854,2.78125,0.626953125,0.25592672413793105,1,andrame01w,CLE,F
2,0,32,10,30,0,2,1,0,0.3404255319148936,0.6666666666666666,3.15625,0.6282552083333334,0.23437500000000003,1,andrame01w,CLE,F
3,0,32,6,26,2,0,0,0,0.3063063063063063,0.782608695652174,2.09375,0.4329427083333333,0.15086206896551724,0,andrame01w,CLE,F
5,0,12,1,1,0,0,0,0,0.42857142857142855,1.0,0.5833333333333334,0.11284722222222222,0.028735632183908046,0,andrame01w,CHA,F
9,0,34,43,1,2,0,0,0,0.43805309734513276,0.6987951807228916,1.3235294117647058,0.5637254901960784,0.3545904343045629,0,anosini01w,MIN,C
10,0,30,28,4,1,0,0,0,0.49056603773584906,0.6958762886597938,2.7,0.6222222222222222,0.2616822429906542,0,anosini01w,MIN,C
1,0,32,3,45,1,0,2,0,0.4642857142857143,0.8392857142857143,2.25,0.7669270833333334,0.2058319039451115,1,arcaija01w,HOU,G
2,0,32,3,66,1,0,1,0,0.42357274401473294,0.9013157894736842,3.09375,0.7975260416666666,0.20591456736035052,1,arcaija01w,HOU,G
3,0,32,6,37,0,1,2,0,0.42433234421364985,0.8823529411764706,2.8125,0.8040364583333334,0.22023047375160051,1,arcaija01w,HOU,G
4,0,34,1,37,0,0,1,0,0.4591549295774648,0.8504672897196262,2.0588235294117645,0.7616421568627451,0.24363636363636365,1,arcaija01w,HOU,G
6,0,34,6,16,0,0,0,0,0.42729970326409494,0.8962264150943396,1.7352941176470589,0.7457107843137255,0.17207792207792208,1,arcaija01w,HOU,G
1,0,32,21,2,0,0,0,0,0.40669856459330145,0.6837606837606838,0.90625,0.5657552083333334,0.18399532710280372,0,askamma01w,MIA,C
2,0,30,11,0,0,0,0,0,0.4827586206896552,0.5625,0.5,0.29930555555555555,0.10280373831775699,1,askamma01w,MIA,C
3,2,20,4,1,0,0,0,0,0.43333333333333335,0.6875,0.2,0.24895833333333334,0.056074766355140186,1,askamma01w,LAS,C
3,1,6,1,0,0,0,0,0,0.4,0.2727272727272727,0.5,0.25,0.046728971962616814,0,askamma01w,MIA,C
7,0,33,5,17,0,2,0,0,0.4166666666666667,0.46511627906976744,0.7575757575757576,0.2815656565656566,0.39215686274509803,1,atkinla01w,IND,G-F
8,0,28,5,2,0,0,0,0,0.4489795918367347,0.7368421052631579,0.5357142857142857,0.17336309523809523,0.0,1,atkinla01w,SAC,G-F
9,0,5,2,1,0,0,0,0,0.375,0.5,1.6,0.30416666666666664,0.0,1,atkinla01w,SAC,G-F
10,0,2,1,1,0,0,0,0,0.25,0.5,2.5,0.4791666666666667,0.0,1,atkinla01w,SEA,G-F
9,0,33,13,41,0,1,2,0,0.29473684210526313,0.6111111111111112,0.8181818181818182,0.2474747474747475,0.39024390243902435,1,atunrmo01w,SAS,G-F
7,0,34,18,85,0,0,0,0,0.45645161290322583,0.896969696969697,1.4705882352941178,0.6887254901960784,0.32454361054766734,0,augusse01w,MIN,F
8,0,34,21,62,0,0,0,0,0.5077186963979416,0.8728323699421965,2.323529411764706,0.6697303921568627,0.3448275862068966,0,augusse01w,MIN,F
9,0,31,12,63,0,0,0,0,0.46975806451612906,0.8898305084745762,2.6774193548387095,0.7002688172043011,0.33370411568409347,0,augusse01w,MIN,F
10,0,6,3,14,0,0,0,0,0.5697674418604651,0.9047619047619048,1.5,0.6180555555555556,0.3591954022988506,0,augusse01w,MIN,F
1,2,3,0,0,0,0,0,0,0.0,0.0,1.3333333333333333,0.041666666666666664,0.0,0,aycocan01w,MIN,G-F
1,1,1,0,2,0,0,0,0,0.0,0.0,0.0,0.14583333333333334,0.0,0,aycocan01w,SEA,G-F
4,0,7,4,0,0,0,0,0,0.2857142857142857,0.5,0.14285714285714285,0.13095238095238096,0.11083743842364534,0,azizle01w,IND,F
1,0,15,5,24,0,0,0,0,0.4519230769230769,0.9302325581395349,6.133333333333334,0.7763888888888889,0.5974025974025974,0,azzije01w,SAS,G
2,0,32,10,74,1,1,2,0,0.3979591836734694,0.9175257731958762,5.65625,0.8333333333333334,0.4505928853754941,1,azzije01w,SAS,G
3,0,32,14,92,0,5,7,0,0.45021645021645024,0.8035714285714286,6.0,0.8704427083333334,0.42876526458616016,1,azzije01w,SAS,G
4,0,34,9,97,2,0,0,0,0.4028436018957346,0.7846153846153846,3.264705882352941,0.696078431372549,0.330849478390462,0,azzije01w,SAS,G
1,0,25,1,24,0,0,2,0,0.3508771929824561,0.7142857142857143,0.88,0.1975,0.21212121212121213,1,badertr01w,CLE,G
2,0,19,0,13,0,0,0,0,0.36363636363636365,0.0,0.5789473684210527,0.12938596491228072,0.25,1,badertr01w,CLE,G
3,0,18,1,14,0,0,0,0,0.15384615384615385,0.8333333333333334,0.8333333333333334,0.1527777777777778,0.38961038961038963,0,badertr01w,CLE,G
7,0,34,2,33,0,0,0,0,0.38645418326693226,0.8571428571428571,1.0294117647058822,0.3762254901960784,0.12727272727272726,0,bakersh01w,NYL,G
8,2,24,2,33,1,0,0,0,0.328125,0.8333333333333334,3.2083333333333335,0.4270833333333333,0.2153846153846154,0,bakersh01w,LAS,G
8,1,3,0,1,0,0,0,0,1.0,0.0,0.0,0.09027777777777778,0.0,1,bakersh01w,NYL,G
9,0,13,1,1,0,0,0,0,0.32432432432432434,0.7352941176470589,1.1538461538461537,0.1762820512820513,0.24793388429752064,1,bakersh01w,IND,G
10,0,1,0,0,0,0,0,0,0.6666666666666666,1.0,1.0,0.22916666666666666,0.18181818181818182,1,bakersh01w,DET,G
8,0,17,13,0,0,0,0,0,0.5217391304347826,0.875,0.17647058823529413,0.22794117647058823,0.21440351841671246,1,balesal01w,IND,C
9,2,17,29,3,0,0,0,0,0.40540540540540543,0.6774193548387096,0.6470588235294118,0.47671568627450983,0.4782847718526662,0,balesal01w,ATL,C
9,1,14,14,5,0,0,0,0,0.3888888888888889,0.7777777777777778,0.14285714285714285,0.1875,0.2803738317757009,1,balesal01w,IND,C
1,0,9,0,2,0,0,0,0,0.2857142857142857,0.5,0.1111111111111111,0.04861111111111111,0.0,1,banchrh01w,SAC,C
2,0,32,57,80,2,2,6,0,0.4297520661157025,0.9024390243902439,2.1875,0.708984375,0.5145474137931035,1,baranel01w,MIA,F
4,0,33,43,91,0,0,0,0,0.4163424124513619,0.8857142857142857,1.9393939393939394,0.5366161616161617,0.4728317659352142,0,baranel01w,NYL,F
5,0,34,58,115,0,9,4,0,0.45609065155807366,0.9047619047619048,2.264705882352941,0.7365196078431373,0.6237322515212982,1,baranel01w,NYL,F
6,0,33,46,85,1,2,1,0,0.4349593495934959,0.8596491228070176,1.8484848484848484,0.6388888888888888,0.5929989550679207,1,baranel01w,NYL,F
2,0,5,0,3,0,0,0,0,0.1,0.0,0.8,0.14583333333333334,0.7272727272727273,0,barksla01w,POR,G
3,0,17,7,22,0,0,0,0,0.3564356435643564,0.8846153846153846,0.7058823529411765,0.3492647058823529,0.09486166007905138,0,barksla01w,POR,G
4,0,26,3,52,0,0,0,0,0.26582278481012656,1.0,0.19230769230769232,0.1346153846153846,0.09090909090909091,0,barksla01w,SAS,G
1,0,5,0,1,0,0,0,0,0.5714285714285714,0.5,1.2,0.1,0.03448275862068966,1,barnead01w,CLE,F
2,0,3,0,0,0,0,0,0,1.0,0.0,0.0,0.020833333333333332,0.028735632183908046,1,barnead01w,CLE,F
3,0,26,9,4,1,0,2,0,0.3416666666666667,0.5172413793103449,1.1923076923076923,0.43509615384615385,0.33819628647214856,1,barnead01w,SEA,F
4,0,16,7,31,1,0,0,0,0.38095238095238093,0.5714285714285714,1.4375,0.515625,0.35021551724137934,0,barnead01w,SEA,F
5,0,34,2,6,0,1,0,0,0.3,0.6571428571428571,1.0588235294117647,0.2702205882352941,0.15973630831643004,1,barnead01w,SEA,F
1,0,31,33,9,2,0,0,0,0.41784037558685444,0.5357142857142857,1.064516129032258,0.4737903225806452,0.2984624660838106,0,barnequ01w,SEA,C
2,0,20,6,1,0,0,0,0,0.3898305084745763,0.7777777777777778,0.55,0.23854166666666668,0.08411214953271028,0,barnequ01w,SEA,C
3,0,2,2,0,0,0,0,0,0.0,0.75,0.0,0.13541666666666666,0.2803738317757009,0,barnequ01w,PHO,C
6,0,29,24,7,1,2,0,0,0.44086021505376344,0.746031746031746,0.896551724137931,0.3620689655172414,0.2320335159523042,1,batkosu01w,SEA,C
10,0,20,6,11,0,7,7,0,0.49295774647887325,0.4166666666666667,0.2,0.24270833333333333,0.08411214953271028,1,batkosu01w,SEA,C
6,0,8,1,0,0,0,0,0,0.0,0.0,0.375,0.11979166666666667,0.05387931034482759,0,batteja01w,MIN,F
7,0,26,3,14,0,0,0,0,0.26785714285714285,0.5714285714285714,0.3076923076923077,0.14983974358974358,0.08289124668435013,1,batteja01w,DET,F
6,0,2,0,0,0,0,0,0,0.5,0.0,0.0,0.08333333333333333,0.08620689655172414,1,battlas01w,SEA,F
7,0,33,3,46,0,0,0,0,0.3829787234042553,0.8,0.8787878787878788,0.28724747474747475,0.16196447230929992,0,battlas01w,NYL,F
8,0,34,2,93,0,0,0,0,0.3643410852713178,0.7666666666666667,1.7647058823529411,0.5024509803921569,0.3194726166328601,1,battlas01w,NYL,F
9,0,34,1,30,0,1,3,0,0.375,0.72,0.9705882352941176,0.26286764705882354,0.13438133874239352,1,battlas01w,NYL,F
10,0,34,2,46,0,0,0,0,0.42567567567567566,0.6956521739130435,1.1764705882352942,0.33578431372549017,0.21551724137931036,0,battlas01w,NYL,F
1,0,29,3,1,1,0,0,0,0.4027777777777778,0.8571428571428571,0.4827586206896552,0.2859195402298851,0.5555555555555556,0,bauerca01w,CHA,F-C
2,0,15,1,1,0,0,0,0,0.29411764705882354,0.5,0.2,0.14166666666666666,0.46439628482972134,0,bauerca01w,WAS,F-C
3,0,25,5,0,0,0,0,0,0.2982456140350877,0.6,0.04,0.19416666666666665,0.39704524469067404,0,bauerca01w,SAC,F-C
5,0,34,34,56,0,8,1,0,0.42042755344418054,0.7407407407407407,2.9411764705882355,0.6905637254901961,0.5,1,beardal01w,WAS,G-F
