year,stint,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,total_points,total_rebounds,total_assists,total_blocks,total_steals,total_turnovers,FG%,FT%,award,Avg_Points_Per_Game,Avg_Rebounds_Per_Game,Avg_Assists_Per_Game,Avg_Blocks_Per_Game,Avg_Steals_Per_Game,Avg_Turnovers_Per_Game,Usability,POSITION_METRIC,playoff,playerID,tmID,pos
2,0,26,23,846,343,43,131,174,53,42,9,85,70,293,114,132,96,76,19,2,343,174,53,9,42,85,0.3890784982935154,0.7272727272727273,0,13.192307692307692,6.6923076923076925,2.0384615384615383,0.34615384615384615,1.6153846153846154,3.269230769230769,0.8134615384615385,0.576923076923077,0,abrossv01w,MIN,F
3,0,27,27,805,314,45,101,146,60,42,10,92,73,316,119,116,56,60,20,0,314,146,60,10,42,92,0.37658227848101267,0.4827586206896552,0,11.62962962962963,5.407407407407407,2.2222222222222223,0.37037037037037035,1.5555555555555556,3.4074074074074074,0.7453703703703703,0.4661558109833972,0,abrossv01w,MIN,F
4,0,30,25,792,318,44,97,141,82,44,11,90,79,285,112,98,69,82,25,0,341,146,86,12,48,98,0.38436482084690554,0.7264150943396226,0,11.366666666666667,4.866666666666666,2.8666666666666667,0.4,1.6,3.2666666666666666,0.66,0.4051724137931035,1,abrossv01w,MIN,F
5,0,22,11,462,146,17,57,74,45,30,2,43,42,139,49,46,28,53,20,0,166,83,48,4,31,46,0.35185185185185186,0.6,0,7.545454545454546,3.772727272727273,2.1818181818181817,0.18181818181818182,1.4090909090909092,2.090909090909091,0.525,0.28996865203761757,1,abrossv01w,MIN,F
6,0,31,31,777,304,29,78,107,60,48,6,80,86,276,109,73,53,82,33,0,304,107,60,6,48,80,0.39492753623188404,0.726027397260274,0,9.806451612903226,3.4516129032258065,1.935483870967742,0.1935483870967742,1.5483870967741935,2.5806451612903225,0.6266129032258064,0.2975528364849833,0,abrossv01w,MIN,F
7,0,34,2,724,263,44,62,106,54,34,1,61,66,241,99,62,41,65,24,0,263,106,54,1,34,61,0.4107883817427386,0.6612903225806451,0,7.735294117647059,3.1176470588235294,1.588235294117647,0.029411764705882353,1.0,1.7941176470588236,0.5323529411764706,0.26876267748478705,0,abrossv01w,MIN,F
8,0,34,29,843,345,53,97,150,85,44,4,68,86,298,132,43,36,101,45,0,345,150,85,4,44,68,0.4429530201342282,0.8372093023255814,0,10.147058823529411,4.411764705882353,2.5,0.11764705882352941,1.2941176470588236,2.0,0.6198529411764706,0.38032454361054774,0,abrossv01w,MIN,F
9,0,6,0,107,34,3,17,20,12,8,0,11,13,36,11,12,10,12,2,0,58,31,16,0,12,14,0.36666666666666664,0.75,0,9.666666666666666,5.166666666666667,2.6666666666666665,0.0,2.0,2.3333333333333335,0.44583333333333336,0.2873563218390805,1,abrossv01w,CON,F
4,0,10,0,96,33,10,13,23,4,2,3,10,10,33,13,2,2,12,5,0,33,23,4,3,2,10,0.3939393939393939,1.0,0,3.3,2.3,0.4,0.3,0.2,1.0,0.24,0.08411214953271028,1,adamsjo01w,MIN,C
3,0,28,0,141,43,0,11,11,16,3,2,11,5,33,14,7,4,21,11,0,43,11,18,2,3,11,0.42424242424242425,0.5714285714285714,0,1.5357142857142858,0.39285714285714285,0.6428571428571429,0.07142857142857142,0.10714285714285714,0.39285714285714285,0.12589285714285714,0.2644628099173554,1,aguilel01w,SAS,G
9,0,34,2,604,273,33,27,60,59,31,6,55,85,284,94,91,72,68,13,1,273,60,59,6,31,55,0.33098591549295775,0.7912087912087912,0,8.029411764705882,1.7647058823529411,1.7352941176470589,0.17647058823529413,0.9117647058823529,1.6176470588235294,0.4441176470588235,0.1950413223140496,0,ajavoma01w,HOU,G
10,0,34,4,587,272,27,37,64,37,37,4,50,84,253,85,110,74,82,28,1,291,69,40,4,41,52,0.3382899628252788,0.6810344827586207,0,8.558823529411764,2.0294117647058822,1.1764705882352942,0.11764705882352941,1.2058823529411764,1.5294117647058822,0.43161764705882355,0.13454545454545455,1,ajavoma01w,WAS,G
1,0,29,0,272,63,8,16,24,28,9,4,27,30,54,25,22,7,12,6,0,77,28,35,4,10,28,0.46153846153846156,0.36666666666666664,0,2.6551724137931036,0.9655172413793104,1.206896551724138,0.13793103448275862,0.3448275862068966,0.9655172413793104,0.23448275862068965,0.18855218855218855,1,aldrima01w,WAS,G
2,0,5,0,35,7,2,0,2,2,0,0,4,5,9,3,1,1,3,0,0,7,2,2,0,0,4,0.3333333333333333,1.0,0,1.4,0.4,0.4,0.0,0.0,0.8,0.175,0.09090909090909091,0,aldrima01w,WAS,G
2,0,26,1,252,49,15,23,38,14,11,0,28,20,58,19,14,7,11,4,0,49,38,14,0,11,28,0.3275862068965517,0.5,0,1.8846153846153846,1.4615384615384615,0.5384615384615384,0.0,0.4230769230769231,1.0769230769230769,0.2423076923076923,0.48484848484848486,0,alhalta01w,CON,G-F
9,0,6,0,49,16,2,4,6,3,1,0,6,5,16,7,0,0,6,2,0,16,6,3,0,1,7,0.4375,0.0,0,2.6666666666666665,1.0,0.5,0.0,0.16666666666666666,1.1666666666666667,0.20416666666666666,0.09090909090909091,1,allench01w,SAC,G
2,0,2,0,3,1,1,0,1,0,0,1,1,2,0,0,2,1,0,0,0,1,1,0,1,0,1,0.0,0.5,0,0.5,0.5,0.0,0.5,0.0,0.5,0.0375,0.04310344827586207,1,amachma01w,NYL,F
4,0,7,0,47,8,4,10,14,0,5,2,9,3,10,3,4,2,0,0,0,8,14,0,2,5,9,0.3,0.5,0,1.1428571428571428,2.0,0.0,0.2857142857142857,0.7142857142857143,1.2857142857142858,0.16785714285714284,0.1724137931034483,0,amachma01w,SEA,F
6,0,3,0,3,2,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,2,0,0,0,0,0,0.0,1.0,0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0,amachma01w,WAS,F
3,0,2,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0,ambermo01w,SAC,F
7,1,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.025,0.1724137931034483,1,anderam01w,CON,F
