year,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,d_fgm,d_fga,d_fta,d_3pm,d_3pa,d_oreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,GP,attend,win_percentage,loss_percentage,home_win_percentage,home_loss_percentage,away_win_percentage,away_loss_percentage,conference_win_percentage,conference_loss_percentage,tmID,Avg_Rebounds_Per_Game,Avg_Steals_Per_Game,Avg_Turnovers_Per_Game,FG%,FT%,GP_5,GS,PF,POSITION_METRIC,PostAssists,PostBlocks,PostDQ,PostGP,PostGS,PostPF,PostRebounds,PostSteals,PostTurnovers,PostftAttempted,PostoRebounds,PostthreeAttempted,Usability,award,birthYear,dq,fgAttempted,ftMade,height,minutes,num_seasons,oRebounds,threeAttempted,total_blocks,total_rebounds,total_steals,total_turnovers,weight
9,0,4.13,0,0.43,0.21,0.11,843.68,1998.93,477.74,639.69,450.39,326.65,714.47,1041.12,514.77,647.69,260.62,503.33,121.28,844.23,2001.14,639.57,151.81,449.2,327.49,1041.45,516.15,647.28,261.17,502.46,119.58,33.08,142793.66,0.5,0.5,0.61,0.39,0.39,0.61,0.5,0.5,ATL,2.58,0.68,1.65,0.41,0.73,30.2,15.65,57.01,0.29,6.21,0.28,0.1,3.51,1.46,6.25,8.01,2.36,4.7,5.46,1.52,9.03,0.46,0.04,1980.61,0.19,208.62,40.83,70.58,590.21,7.27,21.48,60.29,5.4,90.16,24.08,57.83,150.51
10,0,7.0,1,0.0,0.0,0.0,895.0,2258.0,542.0,725.0,598.0,340.0,737.0,1077.0,492.0,796.0,285.0,593.0,142.0,1014.0,2254.0,918.0,172.0,502.0,401.0,1265.0,684.0,726.0,310.0,561.0,134.0,34.0,141379.0,0.12,0.88,0.06,0.94,0.18,0.82,0.1,0.9,ATL,4.1,0.87,1.8,0.45,0.72,29.41,18.18,68.66,0.37,1.19,0.45,0.0,1.32,0.53,2.33,2.97,0.66,1.53,2.38,0.56,1.84,0.56,0.04,1980.92,0.73,219.65,51.27,72.9,657.62,7.01,37.99,40.66,13.06,121.21,25.48,51.2,157.63
11,0,3.67,1,0.33,0.0,0.0,1024.33,2371.33,560.0,745.0,448.67,382.67,815.67,1198.33,528.67,759.33,314.33,591.0,128.0,1002.0,2326.67,844.0,178.0,520.67,369.0,1204.33,638.0,708.67,334.67,587.67,133.33,34.0,127617.67,0.39,0.61,0.49,0.51,0.29,0.71,0.34,0.66,ATL,3.39,0.97,1.52,0.43,0.73,31.13,14.52,59.5,0.33,2.32,0.11,0.0,1.24,0.66,2.69,3.48,0.97,3.0,2.47,0.79,2.48,0.51,0.12,1983.63,0.59,203.33,45.2,72.24,648.29,4.26,32.84,40.56,10.96,108.53,31.38,50.84,162.4
2,0,8.0,1,0.0,0.0,0.0,812.0,1903.0,431.0,577.0,386.0,305.0,630.0,935.0,551.0,713.0,222.0,496.0,90.0,879.0,1930.0,716.0,138.0,423.0,326.0,990.0,596.0,596.0,259.0,426.0,123.0,32.0,90963.0,0.25,0.75,0.31,0.69,0.19,0.81,0.24,0.76,CHA,3.01,0.99,1.92,0.42,0.77,29.94,17.27,69.46,0.35,0.74,0.19,0.0,0.92,0.18,1.69,2.29,0.28,0.94,0.9,1.0,1.27,0.63,0.0,1972.13,0.59,228.86,53.81,70.18,763.84,5.82,26.22,66.67,9.35,91.66,30.44,59.83,157.16
3,0,5.33,1,0.67,0.67,0.33,768.0,1821.0,417.0,544.33,414.0,307.67,636.0,943.67,495.0,641.0,218.67,481.33,106.0,781.0,1874.0,613.33,122.0,387.0,338.0,937.33,494.0,584.67,257.67,440.0,123.67,32.0,100671.0,0.46,0.54,0.56,0.44,0.35,0.65,0.56,0.44,CHA,3.15,0.86,1.82,0.4,0.77,29.9,20.23,66.29,0.32,10.18,2.3,0.0,4.92,3.62,11.19,16.46,4.16,8.87,7.53,4.8,9.68,0.61,0.0,1972.82,0.75,214.73,50.13,70.82,746.93,6.01,31.66,57.33,14.76,111.7,30.66,64.84,162.81
4,0,3.67,1,0.58,0.33,0.17,769.0,1805.5,453.5,603.67,470.5,304.83,644.5,949.33,495.5,644.0,229.83,444.67,105.5,779.5,1840.5,605.67,127.5,379.5,316.5,926.17,491.5,592.33,232.83,432.0,113.33,32.0,103670.5,0.51,0.49,0.62,0.37,0.4,0.6,0.56,0.44,CHA,3.42,0.97,1.64,0.42,0.78,29.98,22.0,68.07,0.32,7.14,1.5,0.0,3.27,2.74,7.42,12.44,3.43,6.08,5.4,3.87,7.7,0.63,0.0,1973.63,0.67,219.91,54.89,70.58,779.24,6.88,33.56,61.58,12.75,117.26,33.58,57.0,158.66
5,0,3.0,0,0.55,0.2,0.1,776.2,1835.7,454.5,598.2,489.1,319.7,638.3,958.0,496.9,665.2,249.5,465.6,109.3,783.7,1865.1,630.2,131.7,390.5,344.3,958.5,491.3,597.8,245.3,446.8,109.6,32.8,110226.7,0.52,0.48,0.68,0.32,0.36,0.64,0.54,0.46,CHA,3.66,1.04,1.82,0.41,0.77,31.63,25.69,81.29,0.3,5.59,1.18,0.0,2.65,2.29,6.3,10.26,2.48,5.13,4.24,3.27,6.2,0.66,0.0,1974.02,0.77,227.67,57.33,71.09,844.68,7.27,36.77,60.74,14.62,126.96,35.93,63.47,165.15
6,0,3.67,0,0.37,0.13,0.07,765.8,1805.13,448.33,595.47,479.07,298.47,630.87,929.33,473.27,659.47,236.33,470.07,117.53,789.13,1887.4,615.8,131.13,376.67,352.2,971.0,499.53,596.87,244.53,443.53,111.07,33.2,112278.8,0.5,0.5,0.65,0.35,0.35,0.65,0.49,0.51,CHA,3.94,1.04,1.76,0.4,0.75,32.49,27.27,83.68,0.38,5.92,1.57,0.03,2.79,2.42,7.24,13.3,3.31,5.89,5.38,3.95,5.63,0.66,0.0,1976.97,0.79,277.69,60.79,72.46,864.66,9.0,41.19,64.82,22.09,142.38,37.37,63.7,170.46
7,0,4.27,0,0.23,0.07,0.03,765.8,1836.27,449.13,606.93,424.93,302.87,622.73,925.6,475.0,681.13,253.07,491.47,118.0,807.53,1888.93,644.8,128.93,361.67,355.93,1001.4,495.87,616.47,252.13,474.67,121.87,33.6,108990.0,0.4,0.6,0.55,0.45,0.26,0.74,0.4,0.6,CHA,3.76,1.02,1.79,0.39,0.74,31.38,25.32,81.16,0.34,3.98,1.08,0.01,1.87,1.59,4.71,9.0,2.23,3.99,3.73,2.69,3.49,0.65,0.0,1977.19,0.94,254.9,58.61,72.73,820.38,8.78,39.15,50.02,18.72,130.05,35.03,61.22,169.67
7,0,4.13,0,0.43,0.21,0.11,843.68,1998.93,477.74,639.69,450.39,326.65,714.47,1041.12,514.77,647.69,260.62,503.33,121.28,844.23,2001.14,639.57,151.81,449.2,327.49,1041.45,516.15,647.28,261.17,502.46,119.58,33.08,142793.66,0.5,0.5,0.61,0.39,0.39,0.61,0.5,0.5,CHI,2.21,0.63,1.16,0.38,0.67,30.13,16.29,66.4,0.26,2.77,0.38,0.05,2.58,1.79,5.96,6.09,0.89,3.07,4.74,1.78,3.15,0.46,0.0,1978.74,0.5,149.13,26.25,72.31,588.1,6.42,25.81,51.93,8.7,76.32,20.55,39.67,161.65
