year,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,GP,min,attend,win_percentage,loss_percentage,home_win_percentage,home_loss_percentage,away_win_percentage,away_loss_percentage,conference_win_percentage,conference_loss_percentage,tmID,W_post,L_post,GS_weighted_mean,minutes_weighted_mean,points_weighted_mean,oRebounds_weighted_mean,dRebounds_weighted_mean,rebounds_weighted_mean,assists_weighted_mean,steals_weighted_mean,blocks_weighted_mean,turnovers_weighted_mean,PF_weighted_mean,fgAttempted_weighted_mean,fgMade_weighted_mean,ftAttempted_weighted_mean,ftMade_weighted_mean,threeAttempted_weighted_mean,total_points_weighted_mean,total_rebounds_weighted_mean,total_assists_weighted_mean,total_blocks_weighted_mean,total_steals_weighted_mean,total_turnovers_weighted_mean,FG%_weighted_mean,FT%_weighted_mean,award_weighted_mean,Avg_Points_Per_Game_weighted_mean,Avg_Rebounds_Per_Game_weighted_mean,Avg_Assists_Per_Game_weighted_mean,Avg_Blocks_Per_Game_weighted_mean,Avg_Steals_Per_Game_weighted_mean,Avg_Turnovers_Per_Game_weighted_mean,Usability_weighted_mean,POSITION_METRIC_weighted_mean,num_trophies,Avg_Assists_Per_Game,Avg_Blocks_Per_Game,Avg_Points_Per_Game,Avg_Rebounds_Per_Game,Avg_Steals_Per_Game,Avg_Turnovers_Per_Game,FG%,FT%,GP_6,GS,PF,POSITION_METRIC,Usability,assists,award,blocks,dRebounds,dq,fgAttempted,fgMade,ftAttempted,ftMade,minutes,oRebounds,points,rebounds,steals,threeAttempted,threeMade,total_assists,total_blocks,total_points,total_rebounds,total_steals,total_turnovers,turnovers
9,0,0.45,0,0.42,0.21,0.11,0.4,0.34,0.43,0.41,0.41,0.41,0.4,0.44,0.47,0.42,0.55,0.39,0.41,0.38,0.36,0.41,0.35,0.41,0.4,0.3,0.3,0.34,0.38,0.32,0.43,0.45,0.43,0.43,0.36,0.42,0.52,0.44,0.42,0.5,0.5,0.58,0.42,0.44,0.56,0.5,0.5,ATL,1.53,1.51,19.11,690.88,252.18,32.92,74.81,107.74,55.66,27.6,12.65,49.88,63.48,214.3,91.53,69.05,52.44,48.48,273.31,116.99,60.44,13.77,29.74,53.71,0.41,0.73,0.06,9.18,3.97,2.04,0.46,1.01,1.84,0.59,0.37,0.46,1.31,0.26,6.42,2.97,0.67,1.41,0.41,0.7,28.29,11.59,52.99,0.3,0.44,37.86,0.02,6.6,59.82,0.19,167.41,69.05,39.07,29.3,545.45,25.38,184.09,85.2,19.52,47.74,16.69,41.63,7.5,199.68,90.82,21.0,43.1,40.1
10,0,0.86,1,0.0,0.0,0.0,0.52,0.69,0.62,0.62,0.63,0.66,0.47,0.51,0.55,0.35,1.0,0.53,0.81,0.52,0.53,0.81,0.64,0.96,0.97,0.4,0.42,0.75,0.79,0.76,1.0,0.78,0.75,0.66,0.47,0.88,1.0,0.68,0.42,0.0,1.0,0.0,1.0,0.16,0.84,0.0,1.0,ATL,1.53,1.51,14.85,535.84,208.26,23.39,54.87,78.26,41.93,23.73,8.89,42.82,57.1,187.92,73.11,56.29,42.96,55.98,208.26,78.26,41.93,8.89,23.73,42.82,0.4,0.73,0.0,7.72,3.39,1.46,0.51,0.95,1.6,0.52,0.36,0.0,2.07,0.44,9.15,4.33,0.97,1.94,0.43,0.71,29.48,18.68,70.73,0.37,0.58,59.33,0.08,11.91,81.94,0.78,219.11,92.91,76.36,54.46,690.84,39.54,255.05,121.48,27.15,42.59,14.78,62.07,12.25,263.26,124.88,28.0,54.53,52.52
11,0,0.38,1,0.33,0.0,0.0,0.78,0.85,0.68,0.67,0.37,0.41,0.67,0.71,0.78,0.47,0.89,0.68,0.8,0.42,0.7,0.79,0.72,0.86,0.82,0.43,0.46,0.57,0.71,0.64,0.84,0.71,0.92,0.76,0.46,0.83,1.0,0.81,0.35,0.36,0.64,0.46,0.54,0.31,0.69,0.29,0.71,ATL,0.0,1.33,16.78,600.69,250.87,32.71,72.11,104.82,47.13,28.61,10.6,48.96,63.16,216.48,94.34,64.64,48.96,40.94,260.66,108.41,49.0,10.83,29.47,51.52,0.42,0.75,0.06,8.82,3.78,1.76,0.42,1.04,1.79,0.54,0.38,0.67,1.87,0.41,7.65,3.5,0.97,1.58,0.43,0.72,29.12,13.93,56.26,0.33,0.51,56.33,0.11,10.37,68.67,0.59,193.01,85.4,58.82,42.32,610.37,31.07,224.95,99.74,28.55,37.77,11.83,58.5,10.5,235.29,103.1,29.48,48.59,45.62
2,0,1.0,1,0.0,0.0,0.0,0.34,0.22,0.29,0.26,0.31,0.3,0.3,0.24,0.27,0.55,0.75,0.19,0.38,0.18,0.27,0.5,0.28,0.56,0.56,0.23,0.24,0.33,0.26,0.23,0.7,0.24,0.41,0.14,0.39,0.52,0.0,0.12,0.16,0.17,0.82,0.27,0.73,0.17,0.83,0.17,0.83,CHA,1.53,1.51,17.61,656.34,234.5,28.44,62.48,90.92,64.14,23.74,9.37,48.92,64.74,200.97,86.56,60.87,46.42,43.52,234.5,90.92,64.14,9.37,23.74,48.92,0.42,0.76,0.0,8.58,3.28,2.19,0.31,0.85,1.75,0.59,0.35,0.0,2.62,0.28,9.47,3.05,1.01,1.9,0.41,0.77,28.72,18.49,67.7,0.35,0.65,79.4,0.0,8.45,58.77,0.75,226.15,93.1,72.17,56.19,745.06,24.67,265.11,83.44,29.04,69.98,22.72,80.71,8.6,269.64,86.09,29.84,56.49,55.47
3,0,0.62,1,0.67,0.67,0.33,0.25,0.11,0.25,0.18,0.38,0.35,0.31,0.25,0.29,0.36,0.53,0.17,0.32,0.28,0.21,0.27,0.22,0.38,0.35,0.15,0.16,0.4,0.09,0.12,0.36,0.19,0.4,0.19,0.39,0.29,0.0,0.15,0.21,0.45,0.55,0.54,0.46,0.39,0.61,0.57,0.43,CHA,2.67,2.67,19.21,709.52,237.33,30.74,66.17,96.91,60.87,25.04,10.81,51.32,63.22,205.37,86.96,57.79,45.21,51.19,274.46,113.12,70.45,13.02,29.06,59.8,0.41,0.77,0.0,9.24,3.85,2.32,0.44,0.97,2.03,0.6,0.35,0.0,2.28,0.47,8.98,3.6,0.93,2.02,0.4,0.76,28.21,18.62,61.3,0.33,0.59,59.75,0.0,11.8,59.8,0.66,196.57,81.44,59.31,45.92,690.21,30.64,226.75,90.44,24.16,51.46,17.95,68.86,14.07,262.0,105.66,27.85,59.02,50.97
4,0,0.38,1,0.58,0.33,0.17,0.25,0.09,0.36,0.33,0.53,0.44,0.3,0.27,0.3,0.36,0.54,0.23,0.16,0.28,0.26,0.27,0.18,0.35,0.33,0.18,0.14,0.28,0.11,0.1,0.35,0.23,0.24,0.16,0.31,0.28,0.0,0.11,0.23,0.52,0.48,0.6,0.4,0.45,0.55,0.58,0.42,CHA,1.33,2.33,20.29,716.59,247.48,30.5,67.75,98.25,60.37,26.09,10.61,47.27,65.02,204.64,87.36,66.53,50.55,57.97,272.53,109.89,67.03,11.93,29.07,52.98,0.4,0.74,0.0,9.02,3.71,2.19,0.4,0.96,1.76,0.6,0.33,0.0,2.26,0.42,9.2,3.76,1.04,1.76,0.41,0.78,29.2,20.83,65.65,0.33,0.62,63.23,0.0,10.79,68.44,0.63,210.03,89.92,69.09,52.75,747.0,32.82,254.72,101.26,28.65,58.09,22.14,69.93,12.22,280.48,113.15,31.89,54.42,48.65
5,0,0.29,0,0.55,0.2,0.1,0.27,0.13,0.36,0.31,0.54,0.48,0.37,0.26,0.32,0.36,0.6,0.34,0.25,0.3,0.27,0.28,0.21,0.38,0.38,0.2,0.17,0.43,0.12,0.17,0.35,0.25,0.32,0.22,0.29,0.3,0.4,0.36,0.26,0.53,0.47,0.66,0.34,0.39,0.61,0.54,0.46,CHA,0.8,2.2,20.98,737.65,250.41,32.1,67.8,99.9,60.85,28.59,10.91,49.66,67.83,209.13,88.32,66.59,51.01,61.05,271.36,109.13,66.04,11.97,30.98,54.03,0.41,0.76,0.0,8.69,3.56,2.09,0.39,0.99,1.73,0.59,0.34,0.0,2.27,0.45,8.64,3.83,1.05,1.89,0.41,0.76,31.26,24.26,78.04,0.29,0.63,67.69,0.0,13.05,76.49,0.76,217.22,91.55,70.64,53.9,806.16,35.48,257.1,111.97,31.32,56.37,20.1,72.88,14.17,276.91,121.54,33.6,60.24,55.46
6,0,0.38,0,0.37,0.13,0.07,0.25,0.09,0.34,0.31,0.52,0.46,0.27,0.24,0.26,0.28,0.58,0.27,0.27,0.36,0.25,0.29,0.23,0.35,0.35,0.2,0.14,0.48,0.14,0.19,0.38,0.25,0.32,0.21,0.3,0.3,0.6,0.5,0.27,0.51,0.49,0.63,0.37,0.39,0.61,0.49,0.51,CHA,0.53,1.47,21.24,743.67,244.52,30.2,66.77,96.97,57.69,26.74,12.04,49.35,67.5,202.63,86.15,67.0,50.99,57.21,258.49,103.12,61.15,12.74,28.33,52.26,0.41,0.75,0.0,8.16,3.3,1.91,0.41,0.89,1.65,0.59,0.33,0.0,2.17,0.48,9.21,3.9,1.05,1.91,0.4,0.74,31.07,24.12,73.4,0.38,0.64,65.93,0.0,14.27,76.91,0.58,247.96,102.96,74.53,56.7,824.73,39.18,279.64,116.09,31.28,51.71,17.03,70.69,15.26,298.72,125.36,33.8,61.82,57.01
7,0,0.48,0,0.26,0.1,0.05,0.25,0.13,0.34,0.33,0.42,0.37,0.29,0.22,0.26,0.3,0.64,0.34,0.35,0.35,0.24,0.33,0.23,0.39,0.41,0.19,0.11,0.48,0.2,0.24,0.37,0.31,0.36,0.31,0.37,0.34,0.71,0.61,0.25,0.38,0.62,0.52,0.48,0.28,0.72,0.38,0.62,CHA,0.38,1.05,19.86,700.67,228.37,28.69,62.53,91.23,53.68,25.99,11.26,48.04,65.21,193.43,81.41,63.42,47.77,48.15,238.35,95.62,56.15,11.76,27.13,50.12,0.41,0.73,0.0,7.83,3.19,1.86,0.38,0.88,1.66,0.58,0.33,0.0,1.72,0.58,9.1,3.98,1.05,1.85,0.39,0.74,30.59,24.18,77.87,0.34,0.63,50.18,0.0,17.32,79.29,0.89,246.04,100.62,75.18,56.02,789.34,38.06,273.81,117.35,31.41,50.58,16.54,53.92,18.34,289.79,125.94,33.54,58.57,54.84
7,0,0.45,0,0.42,0.21,0.11,0.4,0.34,0.43,0.41,0.41,0.41,0.4,0.44,0.47,0.42,0.55,0.39,0.41,0.38,0.36,0.41,0.35,0.41,0.4,0.3,0.3,0.34,0.38,0.32,0.43,0.45,0.43,0.43,0.36,0.42,0.52,0.44,0.42,0.5,0.5,0.58,0.42,0.44,0.56,0.5,0.5,CHI,1.53,1.51,19.11,690.88,252.18,32.92,74.81,107.74,55.66,27.6,12.65,49.88,63.48,214.3,91.53,69.05,52.44,48.48,273.31,116.99,60.44,13.77,29.74,53.71,0.41,0.73,0.06,9.18,3.97,2.04,0.46,1.01,1.84,0.59,0.37,0.46,1.66,0.3,5.44,2.45,0.73,1.35,0.39,0.65,28.99,16.05,63.86,0.26,0.47,47.0,0.0,9.0,44.15,0.54,144.47,56.88,39.74,27.54,580.21,25.82,155.18,69.97,20.71,42.46,13.87,50.83,9.37,167.74,75.66,21.94,40.89,37.95
