year,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,d_fgm,d_fga,d_fta,d_3pm,d_3pa,d_oreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,GP,attend,win_percentage,loss_percentage,home_win_percentage,home_loss_percentage,away_win_percentage,away_loss_percentage,conference_win_percentage,conference_loss_percentage,tmID_encoded,Avg_Rebounds_Per_Game,Avg_Steals_Per_Game,Avg_Turnovers_Per_Game,FG%,FT%,GP_9,GS,PF,POSITION_METRIC,PostBlocks,PostDQ,PostGP,PostftAttempted,PostthreeAttempted,Usability,award,birthYear,dq,fgAttempted,ftMade,height,minutes,num_seasons,oRebounds,threeAttempted,total_blocks,total_rebounds,total_steals,total_turnovers,weight,tmID
9,0,4.19,0,0.42,0.2,0.11,834.76,1979.44,472.16,633.71,443.1,325.21,706.14,1031.35,511.37,644.2,259.73,499.64,121.11,836.1,1982.01,633.32,149.61,442.81,325.98,1032.15,513.46,643.75,260.35,498.46,119.37,32.98,143677.89,0.5,0.5,0.6,0.4,0.39,0.61,0.5,0.5,0.0,2.5,0.66,1.61,0.4,0.72,29.74,13.8,56.25,0.29,0.28,0.06,3.41,4.99,8.07,0.45,0.05,1980.72,0.24,199.81,37.26,70.64,565.23,7.21,20.18,60.89,5.41,84.5,22.91,55.09,150.68,ATL
10,0,7.0,1,0.0,0.0,0.0,895.0,2258.0,542.0,725.0,598.0,340.0,737.0,1077.0,492.0,796.0,285.0,593.0,142.0,1014.0,2254.0,918.0,172.0,502.0,401.0,1265.0,684.0,726.0,310.0,561.0,134.0,34.0,141379.0,0.12,0.88,0.06,0.94,0.18,0.82,0.1,0.9,0.0,4.27,0.88,1.75,0.45,0.72,29.35,18.51,68.69,0.39,0.51,0.0,1.44,2.9,1.91,0.56,0.05,1980.82,0.69,225.07,52.09,72.89,665.95,7.06,38.76,39.96,13.52,126.98,26.17,51.01,157.87,ATL
11,0,3.67,1,0.33,0.0,0.0,1024.33,2371.33,560.0,745.0,448.67,382.67,815.67,1198.33,528.67,759.33,314.33,591.0,128.0,1002.0,2326.67,844.0,178.0,520.67,369.0,1204.33,638.0,708.67,334.67,587.67,133.33,34.0,127617.67,0.39,0.61,0.49,0.51,0.29,0.71,0.34,0.66,9.42,3.39,0.96,1.49,0.43,0.72,30.92,14.27,59.27,0.33,0.11,0.0,1.22,2.33,2.34,0.51,0.12,1983.6,0.6,198.9,44.35,72.21,641.92,4.26,33.14,37.87,10.96,108.44,31.15,49.88,162.46,ATL
2,0,8.0,1,0.0,0.0,0.0,812.0,1903.0,431.0,577.0,386.0,305.0,630.0,935.0,551.0,713.0,222.0,496.0,90.0,879.0,1930.0,716.0,138.0,423.0,326.0,990.0,596.0,596.0,259.0,426.0,123.0,32.0,90963.0,0.25,0.75,0.31,0.69,0.19,0.81,0.24,0.76,1.0,3.01,0.99,1.92,0.42,0.77,29.94,17.27,69.46,0.35,0.19,0.0,0.92,0.9,1.27,0.63,0.0,1972.13,0.59,228.86,53.81,70.18,763.84,5.82,26.22,66.67,9.35,91.66,30.44,59.83,157.16,CHA
3,0,5.33,1,0.67,0.67,0.33,768.0,1821.0,417.0,544.33,414.0,307.67,636.0,943.67,495.0,641.0,218.67,481.33,106.0,781.0,1874.0,613.33,122.0,387.0,338.0,937.33,494.0,584.67,257.67,440.0,123.67,32.0,100671.0,0.46,0.54,0.56,0.44,0.35,0.65,0.56,0.44,1.0,3.15,0.86,1.82,0.4,0.77,29.9,20.23,66.29,0.32,2.3,0.0,4.92,7.53,9.68,0.61,0.0,1972.82,0.75,214.73,50.13,70.82,746.93,6.01,31.66,57.33,14.76,111.7,30.66,64.84,162.81,CHA
4,0,3.67,1,0.58,0.33,0.17,769.0,1805.5,453.5,603.67,470.5,304.83,644.5,949.33,495.5,644.0,229.83,444.67,105.5,779.5,1840.5,605.67,127.5,379.5,316.5,926.17,491.5,592.33,232.83,432.0,113.33,32.0,103670.5,0.51,0.49,0.62,0.37,0.4,0.6,0.56,0.44,1.0,3.42,0.97,1.64,0.42,0.78,29.98,22.0,68.07,0.32,1.5,0.0,3.27,5.4,7.7,0.63,0.0,1973.63,0.67,219.91,54.89,70.58,779.24,6.88,33.56,61.58,12.75,117.26,33.58,57.0,158.66,CHA
5,0,3.0,0,0.55,0.2,0.1,776.2,1835.7,454.5,598.2,489.1,319.7,638.3,958.0,496.9,665.2,249.5,465.6,109.3,783.7,1865.1,630.2,131.7,390.5,344.3,958.5,491.3,597.8,245.3,446.8,109.6,32.8,110226.7,0.52,0.48,0.68,0.32,0.36,0.64,0.54,0.46,1.0,3.66,1.04,1.82,0.41,0.77,31.63,25.69,81.29,0.3,1.18,0.0,2.65,4.24,6.2,0.66,0.0,1974.02,0.77,227.67,57.33,71.09,844.68,7.27,36.77,60.74,14.62,126.96,35.93,63.47,165.15,CHA
6,0,3.67,0,0.37,0.13,0.07,765.8,1805.13,448.33,595.47,479.07,298.47,630.87,929.33,473.27,659.47,236.33,470.07,117.53,789.13,1887.4,615.8,131.13,376.67,352.2,971.0,499.53,596.87,244.53,443.53,111.07,33.2,112278.8,0.5,0.5,0.65,0.35,0.35,0.65,0.49,0.51,1.0,3.94,1.04,1.76,0.4,0.75,32.49,27.27,83.68,0.38,1.57,0.03,2.79,5.38,5.63,0.66,0.0,1976.97,0.79,277.69,60.79,72.46,864.66,9.0,41.19,64.82,22.09,142.38,37.37,63.7,170.46,CHA
7,0,4.33,0,0.26,0.1,0.05,767.57,1835.95,447.95,603.62,428.19,303.48,624.62,928.1,478.9,678.76,249.95,488.62,116.24,806.81,1887.57,643.57,129.1,365.9,353.0,995.0,498.52,613.19,251.52,469.38,121.05,33.43,108214.57,0.41,0.59,0.55,0.45,0.27,0.73,0.41,0.59,1.0,3.79,1.01,1.78,0.39,0.74,31.42,25.08,81.03,0.35,1.07,0.02,1.91,3.68,3.66,0.64,0.0,1977.19,0.95,254.88,58.31,72.73,815.82,8.77,39.56,50.6,19.26,131.03,34.84,60.82,169.7,CHA
7,0,4.19,0,0.42,0.2,0.11,834.76,1979.44,472.16,633.71,443.1,325.21,706.14,1031.35,511.37,644.2,259.73,499.64,121.11,836.1,1982.01,633.32,149.61,442.81,325.98,1032.15,513.46,643.75,260.35,498.46,119.37,32.98,143677.89,0.5,0.5,0.6,0.4,0.39,0.61,0.5,0.5,2.0,2.21,0.63,1.18,0.38,0.68,30.17,16.52,66.6,0.26,0.38,0.05,2.57,4.7,3.17,0.47,0.0,1978.66,0.5,151.65,27.19,72.3,593.66,6.43,25.82,52.76,8.65,76.35,20.78,40.32,161.61,CHI
