year,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,GP,min,attend,win_percentage,loss_percentage,home_win_percentage,home_loss_percentage,away_win_percentage,away_loss_percentage,conference_win_percentage,conference_loss_percentage,tmID
9,0,0.857,0,0.0,0.0,0.0,0.516,0.695,0.624,0.62,0.633,0.658,0.467,0.508,0.548,0.348,1.0,0.527,0.808,0.516,0.534,0.814,0.638,0.959,0.971,0.404,0.418,0.753,0.786,0.758,1.0,0.783,0.753,0.66,0.467,0.878,1.0,0.68,0.415,0.0,1.0,0.0,1.0,0.156,0.844,0.0,1.0,ATL
10,0,0.143,1,0.5,0.0,0.0,0.919,0.923,0.704,0.692,0.235,0.283,0.771,0.807,0.9,0.536,0.833,0.763,0.795,0.379,0.779,0.772,0.758,0.81,0.744,0.449,0.481,0.483,0.672,0.582,0.767,0.675,1.0,0.815,0.459,0.812,1.0,0.88,0.313,0.544,0.456,0.688,0.312,0.39,0.61,0.441,0.559,ATL
1,0,1.0,0,0.0,0.0,0.0,0.343,0.219,0.293,0.262,0.312,0.303,0.3,0.236,0.274,0.549,0.748,0.188,0.384,0.176,0.273,0.5,0.28,0.564,0.557,0.232,0.242,0.331,0.257,0.226,0.703,0.242,0.413,0.139,0.385,0.516,0.0,0.12,0.165,0.175,0.825,0.27,0.73,0.171,0.829,0.172,0.828,CHA
2,0,0.429,1,1.0,1.0,0.5,0.206,0.054,0.23,0.143,0.412,0.374,0.319,0.259,0.299,0.263,0.419,0.161,0.288,0.333,0.175,0.158,0.188,0.287,0.242,0.111,0.121,0.433,0.0,0.074,0.186,0.171,0.4,0.22,0.393,0.178,0.0,0.16,0.238,0.587,0.413,0.668,0.332,0.502,0.498,0.763,0.237,CHA
3,0,0.143,1,0.5,0.0,0.0,0.256,0.067,0.469,0.47,0.674,0.539,0.286,0.294,0.313,0.362,0.547,0.29,0.0,0.275,0.314,0.265,0.145,0.322,0.316,0.207,0.128,0.157,0.14,0.081,0.341,0.258,0.073,0.131,0.237,0.278,0.0,0.08,0.243,0.587,0.413,0.668,0.332,0.502,0.498,0.586,0.414,CHA
4,0,0.143,1,0.5,0.0,0.0,0.291,0.189,0.367,0.293,0.566,0.523,0.476,0.234,0.344,0.372,0.699,0.495,0.389,0.34,0.296,0.293,0.249,0.412,0.457,0.232,0.206,0.669,0.143,0.259,0.348,0.283,0.447,0.305,0.244,0.327,1.0,0.72,0.31,0.544,0.456,0.75,0.25,0.312,0.688,0.497,0.503,CHA
5,0,0.571,0,0.0,0.0,0.0,0.204,0.005,0.307,0.293,0.471,0.425,0.067,0.201,0.153,0.123,0.55,0.124,0.31,0.464,0.202,0.316,0.283,0.306,0.293,0.192,0.076,0.567,0.161,0.238,0.432,0.238,0.307,0.181,0.319,0.306,1.0,0.8,0.291,0.466,0.534,0.562,0.438,0.39,0.61,0.373,0.627,CHA
6,0,0.714,0,0.0,0.0,0.0,0.26,0.232,0.34,0.375,0.19,0.161,0.352,0.183,0.255,0.352,0.79,0.522,0.555,0.327,0.205,0.435,0.234,0.499,0.551,0.162,0.054,0.494,0.352,0.352,0.365,0.483,0.48,0.556,0.556,0.44,1.0,0.872,0.2,0.078,0.922,0.25,0.75,0.0,1.0,0.124,0.876,CHA
7,0,0.714,0,0.0,0.0,0.0,0.451,0.588,0.654,0.746,0.516,0.568,0.5,0.533,0.581,0.468,0.812,0.688,0.725,0.601,0.475,0.574,0.522,0.729,0.711,0.318,0.336,0.579,0.802,0.71,0.453,0.704,0.593,0.884,0.4,0.63,1.0,0.68,0.245,0.272,0.728,0.375,0.625,0.234,0.766,0.249,0.751,CHA
7,0,0.857,0,0.0,0.0,0.0,0.439,0.584,0.346,0.421,0.43,0.554,0.548,0.363,0.471,0.406,0.629,0.484,0.52,0.405,0.375,0.714,0.52,0.596,0.598,0.545,0.494,0.629,0.775,0.708,0.794,0.192,0.433,0.56,0.363,0.723,1.0,0.64,0.0,0.039,0.961,0.125,0.875,0.078,0.922,0.124,0.876,CHI
