year,confID,playoff,firstRound,semis,finals,o_fta,o_3pm,o_oreb,o_asts,o_stl,o_to,o_blk,d_3pa,d_oreb,d_dreb,d_asts,d_stl,d_to,d_blk,attend,tmID
9,0,0,,,,0.62,0.633,0.467,0.348,0.527,0.808,0.516,0.418,0.753,0.786,1.0,0.753,0.66,0.467,0.415,ATL
10,0,1,0,,,0.692,0.235,0.771,0.536,0.763,0.795,0.379,0.481,0.483,0.672,0.767,1.0,0.815,0.459,0.313,ATL
1,0,0,,,,0.262,0.312,0.3,0.549,0.188,0.384,0.176,0.242,0.331,0.257,0.703,0.413,0.139,0.385,0.165,CHA
2,0,1,1,1,0,0.143,0.412,0.319,0.263,0.161,0.288,0.333,0.121,0.433,0.0,0.186,0.4,0.22,0.393,0.238,CHA
3,0,1,0,,,0.47,0.674,0.286,0.362,0.29,0.0,0.275,0.128,0.157,0.14,0.341,0.073,0.131,0.237,0.243,CHA
4,0,1,0,,,0.293,0.566,0.476,0.372,0.495,0.389,0.34,0.206,0.669,0.143,0.348,0.447,0.305,0.244,0.31,CHA
5,0,0,,,,0.293,0.471,0.067,0.123,0.124,0.31,0.464,0.076,0.567,0.161,0.432,0.307,0.181,0.319,0.291,CHA
6,0,0,,,,0.375,0.19,0.352,0.352,0.522,0.555,0.327,0.054,0.494,0.352,0.365,0.48,0.556,0.556,0.2,CHA
7,0,0,,,,0.746,0.516,0.5,0.468,0.688,0.725,0.601,0.336,0.579,0.802,0.453,0.593,0.884,0.4,0.245,CHA
7,0,0,,,,0.421,0.43,0.548,0.406,0.484,0.52,0.405,0.494,0.629,0.775,0.794,0.433,0.56,0.363,0.0,CHI
8,0,0,,,,0.615,0.561,0.671,0.706,0.403,0.445,0.32,0.371,0.629,0.738,0.662,0.3,0.68,0.496,0.044,CHI
9,0,0,,,,0.831,0.217,0.548,0.539,0.441,0.511,0.562,0.432,0.556,0.601,0.483,0.387,0.51,0.393,0.022,CHI
10,0,0,,,,0.542,0.561,0.31,0.485,0.333,0.541,0.49,0.622,0.517,0.608,0.75,0.507,0.382,0.37,0.046,CHI
1,0,1,1,0,,0.245,0.357,0.424,0.509,0.387,0.568,0.183,0.119,0.056,0.077,0.514,0.72,0.625,0.178,0.396,CLE
2,0,1,0,,,0.087,0.199,0.262,0.386,0.43,0.157,0.131,0.228,0.169,0.071,0.155,0.187,0.409,0.415,0.445,CLE
3,0,0,,,,0.203,0.267,0.252,0.307,0.183,0.188,0.131,0.282,0.062,0.193,0.48,0.3,0.147,0.281,0.454,CLE
4,0,1,0,,,0.421,0.33,0.51,0.433,0.21,0.253,0.15,0.089,0.185,0.362,0.412,0.173,0.297,0.474,0.338,CLE
4,0,1,1,0,,0.429,0.52,0.433,0.444,0.446,0.114,0.314,0.494,0.556,0.648,0.557,0.367,0.332,0.126,0.222,CON
5,0,1,1,1,0,0.293,0.394,0.376,0.621,0.602,0.236,0.216,0.154,0.219,0.503,0.598,0.28,0.394,0.311,0.28,CON
6,0,1,1,1,1,0.53,0.308,0.381,0.625,0.263,0.192,0.438,0.19,0.466,0.426,0.361,0.407,0.201,0.059,0.319,CON
7,0,1,1,0,,0.499,0.507,0.476,0.819,0.349,0.463,0.588,0.432,0.579,0.571,0.473,0.507,0.371,0.237,0.34,CON
8,0,1,0,,,0.354,0.602,0.533,0.782,0.457,0.576,0.608,0.38,0.393,0.728,0.652,0.327,0.517,0.104,0.386,CON
9,0,1,0,,,0.615,0.719,0.61,0.741,0.129,0.345,0.222,0.405,0.522,0.722,0.561,0.367,0.421,0.244,0.359,CON
10,0,0,,,,0.54,0.633,0.552,0.744,0.339,0.197,0.438,0.387,0.348,1.0,0.463,0.34,0.614,0.4,0.287,CON
1,0,0,,,,0.557,0.063,0.471,0.386,0.392,0.533,0.163,0.128,0.36,0.193,0.422,0.58,0.591,0.57,0.246,DET
2,0,0,,,,0.177,0.367,0.39,0.27,0.204,0.393,0.124,0.056,0.067,0.357,0.169,0.433,0.359,0.281,0.257,DET
3,0,0,,,,0.441,0.217,0.562,0.3,0.075,0.581,0.451,0.295,0.264,0.27,0.26,0.533,0.205,0.504,0.181,DET
4,0,1,1,1,1,1.0,0.285,0.652,0.529,0.409,0.873,0.621,0.506,0.691,0.283,0.392,0.747,0.413,0.43,0.377,DET
5,0,1,0,,,0.782,0.0,0.738,0.594,0.484,0.459,0.556,0.488,0.326,0.431,0.429,0.613,0.409,0.444,0.512,DET
6,0,1,0,,,0.738,0.063,0.81,0.287,0.29,0.712,0.601,0.315,0.034,0.471,0.287,0.5,0.502,0.481,0.505,DET
7,0,1,1,1,1,0.671,0.335,0.781,0.621,0.14,0.563,0.484,0.55,0.32,0.511,0.291,0.52,0.448,0.274,0.505,DET
8,0,1,1,1,0,0.765,0.434,0.657,0.59,0.215,0.681,0.353,0.66,0.236,0.563,0.534,0.527,0.537,0.341,0.536,DET
9,0,1,1,1,1,0.666,0.48,0.776,0.73,0.489,0.384,0.359,0.673,0.32,0.513,0.446,0.213,0.703,0.356,0.521,DET
10,0,1,1,0,,0.61,0.412,0.624,0.631,0.398,0.603,0.222,0.662,0.298,0.566,0.459,0.547,0.544,0.289,0.389,DET
1,1,1,1,1,1,0.4,0.498,0.148,0.355,0.522,0.14,0.268,0.23,0.129,0.119,0.287,0.24,0.347,0.104,0.687,HOU
2,1,1,0,,,0.169,0.344,0.505,0.123,0.344,0.122,0.209,0.315,0.169,0.312,0.216,0.34,0.166,0.363,0.612,HOU
3,1,1,0,,,0.281,0.213,0.271,0.205,0.392,0.205,0.412,0.389,0.236,0.257,0.196,0.433,0.286,0.0,0.65,HOU
4,1,1,0,,,0.317,0.24,0.114,0.256,0.237,0.183,0.431,0.414,0.174,0.373,0.432,0.2,0.154,0.378,0.459,HOU
5,1,0,,,,0.354,0.276,0.329,0.208,0.296,0.332,0.288,0.266,0.382,0.405,0.51,0.407,0.313,0.43,0.396,HOU
6,1,1,1,0,,0.535,0.0,0.162,0.263,0.317,0.074,0.275,0.242,0.039,0.317,0.517,0.0,0.351,0.296,0.313,HOU
7,1,1,0,,,0.506,0.484,0.29,0.485,0.349,0.69,0.137,0.405,0.393,0.582,0.466,0.673,0.498,0.133,0.362,HOU
8,1,0,,,,0.61,0.29,0.629,0.573,0.548,0.983,0.301,0.595,0.421,0.407,0.676,0.753,0.687,0.659,0.403,HOU
9,1,0,,,,0.646,0.407,0.638,0.567,0.581,0.834,0.373,0.593,0.461,0.466,0.52,0.773,0.637,0.696,0.269,HOU
1,0,0,,,,0.242,0.593,0.205,0.379,0.452,0.48,0.412,0.096,0.303,0.175,0.473,0.467,0.332,0.03,0.608,IND
2,0,0,,,,0.295,0.43,0.21,0.232,0.296,0.362,0.359,0.116,0.219,0.246,0.598,0.393,0.293,0.511,0.403,IND
3,0,1,0,,,0.269,0.534,0.348,0.195,0.435,0.131,0.242,0.333,0.118,0.204,0.402,0.193,0.309,0.548,0.383,IND
4,0,0,,,,0.228,0.67,0.438,0.509,0.602,0.288,0.379,0.237,0.236,0.291,0.615,0.2,0.471,0.733,0.417,IND
5,0,0,,,,0.269,0.471,0.733,0.563,0.398,0.341,0.464,0.083,0.079,0.32,0.426,0.473,0.293,0.674,0.354,IND
