year,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,GP,min,attend,win_percentage,loss_percentage,home_win_percentage,home_loss_percentage,away_win_percentage,away_loss_percentage,conference_win_percentage,conference_loss_percentage,tmID,W_post,L_post,GS_sum_top3,minutes_sum_top3,points_sum_top3,oRebounds_sum_top3,dRebounds_sum_top3,rebounds_sum_top3,assists_sum_top3,steals_sum_top3,blocks_sum_top3,turnovers_sum_top3,PF_sum_top3,fgAttempted_sum_top3,fgMade_sum_top3,ftAttempted_sum_top3,ftMade_sum_top3,threeAttempted_sum_top3,PostGP_sum_top3,PostGS_sum_top3,PostMinutes_sum_top3,PostPoints_sum_top3,PostoRebounds_sum_top3,PostdRebounds_sum_top3,PostRebounds_sum_top3,PostAssists_sum_top3,PostSteals_sum_top3,PostTurnovers_sum_top3,PostPF_sum_top3,PostfgAttempted_sum_top3,PostfgMade_sum_top3,PostftAttempted_sum_top3,PostftMade_sum_top3,PostthreeAttempted_sum_top3,total_points_sum_top3,total_rebounds_sum_top3,total_assists_sum_top3,total_blocks_sum_top3,total_steals_sum_top3,total_turnovers_sum_top3,FG%_sum_top3,FT%_sum_top3,Avg_Points_Per_Game_sum_top3,Avg_Rebounds_Per_Game_sum_top3,Avg_Assists_Per_Game_sum_top3,Avg_Blocks_Per_Game_sum_top3,Avg_Steals_Per_Game_sum_top3,Avg_Turnovers_Per_Game_sum_top3,Points_Ratio_sum_top3,Durability_Ratio_sum_top3,POSITION_METRIC_sum_top3
9,0,0.857,0,,,,0.516,0.695,0.624,0.62,0.633,0.658,0.467,0.508,0.548,0.348,1.0,0.527,0.808,0.516,0.534,0.814,0.638,0.959,0.971,0.404,0.418,0.753,0.786,0.758,1.0,0.783,0.753,0.66,0.467,0.878,1.0,0.68,0.415,0.0,1.0,0.0,1.0,0.156,0.844,0.0,1.0,ATL,,,86,2715,1252,119,284,384,286,120,61,234,286,1114,427,341,270,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1252,384,286,61,120,234,1.4790500641848523,2.668631785802014,38.24509803921569,16.795454545454543,8.484848484848484,4.122549019607844,4.063725490196078,7.168458417849898,0.0,1.6891480730223123,1.8472175303470484
10,0,0.143,1,0,,,0.919,0.923,0.704,0.692,0.235,0.283,0.771,0.807,0.9,0.536,0.833,0.763,0.795,0.379,0.779,0.772,0.758,0.81,0.744,0.449,0.481,0.483,0.672,0.582,0.767,0.675,1.0,0.815,0.459,0.812,1.0,0.88,0.313,0.544,0.456,0.688,0.312,0.39,0.61,0.441,0.559,ATL,0.0,2.0,98,2774,1366,231,477,708,265,178,83,229,314,1144,538,331,253,243,6,6,187,97,11,26,35,20,12,26,25,69,33,33,24,24,1453,740,280,87,184,251,1.5088825807104715,2.5614045528939147,43.24588235294118,21.764705882352942,9.5,2.5588235294117645,5.712941176470589,8.109411764705882,0.8972878286883955,1.8042647058823529,1.831396733783002
1,0,1.0,0,,,,0.343,0.219,0.293,0.262,0.312,0.303,0.3,0.236,0.274,0.549,0.748,0.188,0.384,0.176,0.273,0.5,0.28,0.564,0.557,0.232,0.242,0.331,0.257,0.226,0.703,0.242,0.413,0.139,0.385,0.516,0.0,0.12,0.165,0.175,0.825,0.27,0.73,0.171,0.829,0.172,0.828,CHA,,,94,3078,1204,140,323,447,375,123,64,236,280,1016,446,296,237,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1204,447,375,64,123,236,1.4693925662417595,2.7355212355212357,41.139583333333334,14.833333333333332,11.852083333333333,2.0854166666666667,3.875,7.497916666666667,0.0,2.0410590277777776,1.8989968511021142
2,0,0.429,1,1,1,0,0.206,0.054,0.23,0.143,0.412,0.374,0.319,0.259,0.299,0.263,0.419,0.161,0.288,0.333,0.175,0.158,0.188,0.287,0.242,0.111,0.121,0.433,0.0,0.074,0.186,0.171,0.4,0.22,0.393,0.178,0.0,0.16,0.238,0.587,0.413,0.668,0.332,0.502,0.498,0.763,0.237,CHA,4.0,4.0,96,3165,1113,154,283,419,317,124,74,229,265,987,412,215,173,322,24,24,827,254,35,82,115,75,31,63,68,246,95,56,44,81,1367,528,392,92,155,290,1.477004893882159,2.650812728937729,42.71875,17.001077586206897,12.383333333333333,3.0803879310344824,4.84375,9.255681818181818,0.8964124917599208,2.598958333333333,1.7292880678981755
3,0,0.143,1,0,,,0.256,0.067,0.469,0.47,0.674,0.539,0.286,0.294,0.313,0.362,0.547,0.29,0.0,0.275,0.314,0.265,0.145,0.322,0.316,0.207,0.128,0.157,0.14,0.081,0.341,0.258,0.073,0.131,0.237,0.278,0.0,0.08,0.243,0.587,0.413,0.668,0.332,0.502,0.498,0.586,0.414,CHA,0.0,2.0,96,2967,1172,152,337,489,316,124,65,192,317,884,403,368,271,363,6,6,208,62,14,27,38,26,12,15,17,66,25,14,7,30,1232,524,342,68,136,202,1.553566309818808,2.586687306501548,38.5,16.375,10.6875,2.25,4.25,6.3125,0.21368923441207222,2.0670572916666665,1.2582491582491582
4,0,0.143,1,0,,,0.291,0.189,0.367,0.293,0.566,0.523,0.476,0.234,0.344,0.372,0.699,0.495,0.389,0.34,0.296,0.293,0.249,0.412,0.457,0.232,0.206,0.669,0.143,0.259,0.348,0.283,0.447,0.305,0.244,0.327,1.0,0.72,0.31,0.544,0.456,0.75,0.25,0.312,0.688,0.497,0.503,CHA,0.0,2.0,102,3182,1085,172,316,466,344,149,84,225,296,932,387,288,218,352,6,6,185,75,12,17,29,18,8,14,20,65,25,21,20,25,1146,493,359,88,157,233,1.4233719453956717,2.605352303523035,34.38336713995943,15.1947261663286,10.558823529411764,2.669622968401947,4.617647058823529,6.852941176470589,0.46215738284703806,2.063112745098039,1.8382315705943926
5,0,0.571,0,,,,0.204,0.005,0.307,0.293,0.471,0.425,0.067,0.201,0.153,0.123,0.55,0.124,0.31,0.464,0.202,0.316,0.283,0.306,0.293,0.192,0.076,0.567,0.161,0.238,0.432,0.238,0.307,0.181,0.319,0.306,1.0,0.8,0.291,0.466,0.534,0.562,0.438,0.39,0.61,0.373,0.627,CHA,,,102,3172,1015,141,331,469,280,101,97,213,303,802,344,340,258,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015,469,280,97,101,213,1.4723153285046489,2.6681318681318684,30.198752228163993,13.794117647058822,8.288770053475936,3.1372549019607843,2.9946524064171123,6.325311942959002,0.0,1.9631610219845514,1.6878951597854408
6,0,0.714,0,,,,0.26,0.232,0.34,0.375,0.19,0.161,0.352,0.183,0.255,0.352,0.79,0.522,0.555,0.327,0.205,0.435,0.234,0.499,0.551,0.162,0.054,0.494,0.352,0.352,0.365,0.483,0.48,0.556,0.556,0.44,1.0,0.872,0.2,0.078,0.922,0.25,0.75,0.0,1.0,0.124,0.876,CHA,,,97,3025,1126,162,324,486,295,136,87,253,330,1000,426,353,256,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126,486,295,87,136,253,1.492690795443089,2.6461538461538465,34.31593927893738,14.755218216318784,10.614759508291394,2.7011385199240983,4.272089761570827,7.680265654648956,0.0,2.03379698653655,1.7461200268217811
7,0,0.714,0,,,,0.451,0.588,0.654,0.746,0.516,0.568,0.5,0.533,0.581,0.468,0.812,0.688,0.725,0.601,0.475,0.574,0.522,0.729,0.711,0.318,0.336,0.579,0.802,0.71,0.453,0.704,0.593,0.884,0.4,0.63,1.0,0.68,0.245,0.272,0.728,0.375,0.625,0.234,0.766,0.249,0.751,CHA,,,101,2806,1143,174,357,528,259,143,104,226,305,1043,433,441,312,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143,528,259,104,143,226,1.4470627652445833,2.4018572007702446,34.81372549019608,16.219607843137254,8.033468559837727,3.352941176470588,4.206896551724138,7.236849222447599,0.0,1.7577614379084967,1.4266822380709203
7,0,0.857,0,,,,0.439,0.584,0.346,0.421,0.43,0.554,0.548,0.363,0.471,0.406,0.629,0.484,0.52,0.405,0.375,0.714,0.52,0.596,0.598,0.545,0.494,0.629,0.775,0.708,0.794,0.192,0.433,0.56,0.363,0.723,1.0,0.64,0.0,0.039,0.961,0.125,0.875,0.078,0.922,0.124,0.876,CHI,,,87,2651,1051,168,326,494,222,128,62,177,250,960,413,300,212,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1051,494,222,62,128,177,1.4184743184743185,2.391684434968017,33.20196078431373,15.196078431372548,8.076190476190476,2.2019607843137257,4.079166666666667,5.723809523809524,0.0,1.7228911356209151,1.233023647943639
