year,confID,playoff,firstRound,semis,finals,o_fta,o_3pm,o_oreb,o_asts,o_stl,o_to,o_blk,d_3pa,d_oreb,d_dreb,d_asts,d_stl,d_to,d_blk,attend,tmID,W_post,L_post,FG%_weighted_mean,FT%_weighted_mean,Avg_Assists_Per_Game_weighted_mean,Avg_Blocks_Per_Game_weighted_mean,Durability_Ratio_weighted_mean,POSITION_METRIC_weighted_mean,FG%_sum_top3,FT%_sum_top3,Avg_Assists_Per_Game_sum_top3,Avg_Blocks_Per_Game_sum_top3,Durability_Ratio_sum_top3,POSITION_METRIC_sum_top3,num_trophies
9,0,0,,,,0.62,0.633,0.467,0.348,0.527,0.808,0.516,0.418,0.753,0.786,1.0,0.753,0.66,0.467,0.415,ATL,,,0.39913359029834095,0.7345910897139577,1.4567866119073838,0.5113423390499492,0.437410105195298,1.8605762419118221,1.4790500641848523,2.668631785802014,8.484848484848484,4.122549019607844,1.6891480730223123,10.88904428904429,0.0
10,0,1,0,,,0.692,0.235,0.771,0.536,0.763,0.795,0.379,0.481,0.483,0.672,0.767,1.0,0.815,0.459,0.313,ATL,0.0,2.0,0.4321835978819932,0.7515821398290475,1.878114898070415,0.3693043745842205,0.47280283671316115,,1.5088825807104715,2.5614045528939147,9.5,2.5588235294117645,1.8042647058823529,14.918823529411766,1.0
1,0,0,,,,0.262,0.312,0.3,0.549,0.188,0.384,0.176,0.242,0.331,0.257,0.703,0.413,0.139,0.385,0.165,CHA,,,0.42159660320101955,0.7589000177998918,2.1876225585541476,0.3134896782878996,0.4955483345955992,1.6030166653977107,1.4693925662417595,2.7355212355212357,11.852083333333333,2.0854166666666667,2.0410590277777776,9.069521283314387,0.0
2,0,1,1,1,0,0.143,0.412,0.319,0.263,0.161,0.288,0.333,0.121,0.433,0.0,0.186,0.4,0.22,0.393,0.238,CHA,4.0,4.0,0.40500192065787904,,2.4374176226157345,0.5102015855841155,0.6430483039675183,1.979176083495658,1.477004893882159,2.650812728937729,12.383333333333333,3.0803879310344824,2.598958333333333,9.937916666666666,0.0
3,0,1,0,,,0.47,0.674,0.286,0.362,0.29,0.0,0.275,0.128,0.157,0.14,0.341,0.073,0.131,0.237,0.243,CHA,0.0,2.0,,,2.086722842922197,0.37080014802612726,0.5319650662012505,,1.553566309818808,2.586687306501548,10.6875,2.25,2.0670572916666665,9.51875,0.0
4,0,1,0,,,0.293,0.566,0.476,0.372,0.495,0.389,0.34,0.206,0.669,0.143,0.348,0.447,0.305,0.244,0.31,CHA,0.0,2.0,0.4166652043415591,0.7856034223230975,1.9368277234489786,0.362483454435743,0.5159935941339654,1.9433418806711917,1.4233719453956717,2.605352303523035,10.558823529411764,2.669622968401947,2.063112745098039,8.098039215686276,0.0
5,0,0,,,,0.293,0.471,0.067,0.123,0.124,0.31,0.464,0.076,0.567,0.161,0.432,0.307,0.181,0.319,0.291,CHA,,,0.4244758554865429,,1.5432561195173133,0.4461795854627838,0.47934558598625954,1.9563913117253933,1.4723153285046489,2.6681318681318684,8.288770053475936,3.1372549019607843,1.9631610219845514,8.944500650383002,0.0
6,0,0,,,,0.375,0.19,0.352,0.352,0.522,0.555,0.327,0.054,0.494,0.352,0.365,0.48,0.556,0.556,0.2,CHA,,,0.390912988381909,,1.7360383864513542,0.31686649587071314,0.4810667287746876,1.5274190149219986,1.492690795443089,2.6461538461538465,10.614759508291394,2.7011385199240983,2.03379698653655,9.380952380952381,0.0
7,0,0,,,,0.746,0.516,0.5,0.468,0.688,0.725,0.601,0.336,0.579,0.802,0.453,0.593,0.884,0.4,0.245,CHA,,,0.40024999638273023,0.6934542113328569,1.6678112372454934,0.4940778110132137,0.4493391119158046,1.2843650727299398,1.4470627652445833,2.4018572007702446,8.033468559837727,3.352941176470588,1.7577614379084967,7.049019607843137,0.0
7,0,0,,,,0.421,0.43,0.548,0.406,0.484,0.52,0.405,0.494,0.629,0.775,0.794,0.433,0.56,0.363,0.0,CHI,,,0.36948017774537006,0.6745452421484753,1.664247520598595,0.3818221695313566,0.4342312207349048,2.110664308344468,1.4184743184743185,2.391684434968017,8.076190476190476,2.2019607843137257,1.7228911356209151,12.529411764705882,0.0
8,0,0,,,,0.615,0.561,0.671,0.706,0.403,0.445,0.32,0.371,0.629,0.738,0.662,0.3,0.68,0.496,0.044,CHI,,,0.3896788101593299,0.6857955083487152,1.933620165052676,0.3365831585445686,0.4905641815464384,2.3942424759699996,1.3773073950461119,2.620879120879121,9.689184060721063,2.530456696785297,1.9287595785440614,16.873440285204993,1.0
9,0,0,,,,0.831,0.217,0.548,0.539,0.441,0.511,0.562,0.432,0.556,0.601,0.483,0.387,0.51,0.393,0.022,CHI,,,0.4087870709221826,,1.7868394619161767,0.5903763902710509,0.47637165143054533,2.0614824630297104,1.4139151045033398,2.599089635854342,9.224789915966387,4.029411764705882,1.8976278011204482,12.382352941176471,0.0
10,0,0,,,,0.542,0.561,0.31,0.485,0.333,0.541,0.49,0.622,0.517,0.608,0.75,0.507,0.382,0.37,0.046,CHI,,,0.43437126210940474,0.7835996740987509,1.6575666649091192,0.5309190640977743,0.4582948015430688,,1.5358779242973601,2.76950280840441,8.352941176470589,3.40495642701525,1.897875816993464,13.586056644880175,0.0
1,0,1,1,0,,0.245,0.357,0.424,0.509,0.387,0.568,0.183,0.119,0.056,0.077,0.514,0.72,0.625,0.178,0.396,CLE,3.0,3.0,0.4359849914335996,,2.112866658164618,0.3601205834019285,0.5582160312831161,1.9499164852495494,1.7038586413586414,2.5473856209150325,9.71875,2.071428571428571,2.1188616071428568,10.030654761904762,1.0
