year,confID,playoff,firstRound,semis,finals,o_fta,o_3pm,o_oreb,o_asts,o_stl,o_to,o_blk,d_3pa,d_oreb,d_dreb,d_asts,d_stl,d_to,d_blk,attend,tmID,W_post,L_post,num_seasons,height,weight,stint,GP,threeAttempted,dq,PostoRebounds,PostBlocks,PostthreeAttempted,PostDQ,FG%,FT%,Avg_Assists_Per_Game,Avg_Blocks_Per_Game,Avg_Steals_Per_Game,Points_Ratio,POSITION_METRIC
9,0,0,,,,725,202,340,492,285,593,142,502,401,864,684,310,561,134,141379,ATL,,,4.714285714285714,73.21428571428571,168.71428571428572,0.5,22.785714285714285,42.714285714285715,0.5,0.0,0.0,0.0,0.0,0.3892596092818697,0.7215046924988716,1.2443938752255181,0.47086887323050747,0.8509614214627254,0.0,1.784167648230385
10,0,1,0.0,,,755,114,404,547,329,590,121,530,353,821,615,347,601,133,120737,ATL,0.0,2.0,5.384615384615385,72.53846153846153,159.07692307692307,0.3076923076923077,27.0,28.76923076923077,0.38461538461538464,1.6153846153846154,0.3076923076923077,2.230769230769231,0.0,0.4161208607921378,0.7426489167204142,1.6474079596873716,0.31006084601672834,0.9308091663238721,0.09153754103864503,2.34277461540719
1,0,0,,,,577,131,305,551,222,496,90,423,326,664,596,259,426,123,90963,CHA,,,3.4615384615384617,71.6923076923077,168.84615384615384,0.0,24.46153846153846,29.692307692307693,0.6153846153846154,0.0,0.0,0.0,0.0,0.4173892331914909,0.7228907161971339,1.5369327713989518,0.23809710036500484,0.6382933214000853,0.0,1.398705027999643
2,0,1,1.0,1.0,0.0,528,153,309,467,217,474,114,369,344,567,443,257,447,124,105525,CHA,4.0,4.0,5.333333333333333,71.5,164.41666666666666,0.16666666666666666,25.166666666666668,35.666666666666664,0.4166666666666667,5.583333333333333,2.5833333333333335,8.583333333333334,0.0,0.36159991500133565,0.7652322661188941,1.6228763374237511,0.41524802623940554,0.7498560008797077,0.18767052223225847,1.5374384506882437
3,0,1,0.0,,,663,211,302,496,241,408,105,372,295,620,489,208,424,103,106670,CHA,0.0,2.0,5.384615384615385,71.3076923076923,164.92307692307693,0.0,20.692307692307693,39.69230769230769,0.6153846153846154,1.3846153846153846,0.3076923076923077,3.230769230769231,0.0,0.3931740849365491,0.7391801375222355,1.384052717304942,0.26104325318730215,0.7013009469210805,0.032490956940054744,1.6831158710497343
4,0,1,0.0,,,590,187,342,499,279,497,115,407,386,621,491,264,469,104,120061,CHA,0.0,2.0,6.363636363636363,71.18181818181819,164.45454545454547,0.0,30.818181818181817,47.0,0.2727272727272727,1.9090909090909092,0.6363636363636364,2.8181818181818183,0.09090909090909091,0.41893121589034715,0.7897306981855436,1.4687590011752407,0.34581645619411366,0.8166707689415216,0.07015685559822457,1.8722171598391875
5,0,0,,,,590,166,256,426,210,479,134,349,368,628,516,243,437,114,116383,CHA,,,6.285714285714286,72.0,167.57142857142858,0.07142857142857142,24.357142857142858,32.785714285714285,0.2857142857142857,0.0,0.0,0.0,0.0,0.394596704141212,0.7224673421764582,0.964915761025818,0.33165738436136916,0.5099272064642083,0.0,1.4271545033693873
6,0,0,,,,624,104,316,493,284,535,113,339,355,700,496,269,534,146,98054,CHA,,,6.8125,72.0625,168.4375,0.5625,21.125,18.8125,0.625,0.0,0.0,0.0,0.0,0.37430031915073053,0.6942579033875195,1.3055582796855691,0.2517138979247613,0.6594354314890987,0.0,1.5349825782423823
7,0,0,,,,777,176,347,527,315,574,155,465,370,870,522,286,619,125,106942,CHA,,,6.333333333333333,72.91666666666667,172.16666666666666,0.0,29.25,45.333333333333336,0.5,0.0,0.0,0.0,0.0,0.39799824700712105,0.6695209687346267,1.404170095040241,0.4365124511984994,0.8121908443113991,0.0,1.1366105895386693
7,0,0,,,,643,157,357,509,277,527,125,536,379,860,623,262,535,120,57635,CHI,,,5.733333333333333,72.4,165.13333333333333,0.13333333333333333,22.466666666666665,35.733333333333334,0.26666666666666666,0.0,0.0,0.0,0.0,0.3626715087043844,0.6373620962921791,1.4286701859048407,0.34242994072171395,0.7611456432961122,0.0,1.8393271011244867
8,0,0,,,,723,186,383,597,262,510,112,481,379,846,584,242,566,138,66557,CHI,,,4.642857142857143,71.5,168.0,0.21428571428571427,24.857142857142858,38.857142857142854,0.35714285714285715,0.0,0.0,0.0,0.0,0.3829108188856698,0.6537936397685711,1.584997445956082,0.26600479413302874,0.6697166146641685,0.0,1.984008104431063
9,0,0,,,,812,110,357,548,269,525,149,508,366,794,531,255,522,124,62146,CHI,,,4.6923076923076925,72.38461538461539,170.69230769230768,0.0,26.076923076923077,26.23076923076923,0.3076923076923077,0.0,0.0,0.0,0.0,0.3553175821088804,0.707898343550098,1.349932872557307,0.428422256476555,0.6805728208443139,0.0,1.4755196269819675
10,0,0,,,,693,186,307,532,249,532,138,593,359,797,610,273,489,121,66852,CHI,,,4.75,71.91666666666667,164.33333333333334,0.25,27.75,39.083333333333336,0.16666666666666666,0.0,0.0,0.0,0.0,0.4266372148231992,0.7919164485447863,1.468873025123025,0.411714461101716,0.7005300300643439,0.0,2.1923929227716417
1,0,1,1.0,0.0,,570,141,331,539,259,538,91,368,277,596,540,305,552,95,137532,CLE,3.0,3.0,5.0,70.92307692307692,162.84615384615384,0.07692307692307693,24.076923076923077,31.307692307692307,0.5384615384615384,5.538461538461538,1.0,7.0,0.0,0.4459449285035404,0.7127715117786758,1.7365338827838828,0.2818086080586081,0.815558608058608,0.17362780687173826,1.583930702787838
2,0,1,0.0,,,505,106,297,503,267,444,83,417,297,594,434,225,496,127,147373,CLE,1.0,2.0,5.266666666666667,71.86666666666666,170.93333333333334,0.06666666666666667,20.266666666666666,22.333333333333332,0.06666666666666667,2.4,0.8,2.2,0.0,0.44530271963103035,0.679635308181492,1.3168548686531143,0.2974669312169312,0.6626144063863362,0.11627485286015844,1.5093987891458032
3,0,0,,,,553,121,295,480,221,451,83,441,278,640,530,242,428,109,149084,CLE,,,4.923076923076923,71.53846153846153,168.07692307692307,0.0,23.384615384615383,28.76923076923077,0.6153846153846154,0.0,0.0,0.0,0.0,0.35495821487164636,0.7738721986701584,1.279824799036688,0.22346143834707866,0.6557957866236807,0.0,1.626788712850094
4,0,1,0.0,,,643,135,349,517,226,466,86,355,300,704,510,223,467,135,125793,CLE,1.0,2.0,6.2727272727272725,71.72727272727273,166.0,0.0,30.181818181818183,38.63636363636363,0.36363636363636365,2.0,1.0909090909090908,3.1818181818181817,0.0,0.3865647949174647,0.6974423147798305,1.542242950899368,0.2820339086047642,0.6953502268676065,0.16751743999834912,1.8935788686618487
